timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label
0,0.41,1.0,9.9,0.09,0.01,0.04,-0.31,5.58,-91.7,9.958820211249924,0
7,0.35,1.02,9.9,0.09,0.01,0.04,0.22,4.11,-91.73,9.95855913272598,0
14,0.24,1.05,9.91,0.09,0.01,0.05,0.25,4.0,-91.32,9.968359945347078,0
21,0.2,1.04,9.91,0.08,0.01,0.05,-0.2,3.9,-92.33,9.966428648216974,0
28,0.16,0.98,9.91,0.07,0.01,0.04,-0.07,4.41,-92.34,9.95962348685933,0
35,0.16,0.95,9.9,0.07,0.01,0.04,-0.38,4.31,-90.09,9.946763292649525,0
42,0.2,0.93,9.9,0.06,0.0,0.0,-1.14,5.47,-89.24,9.94559701576532,0
49,0.2,0.95,9.92,0.04,0.0,-0.03,-0.01,4.65,-92.2,9.967391835380006,0
56,0.31,0.99,9.92,0.03,-0.0,-0.05,0.38,4.56,-92.14,9.974096450305662,0
63,0.37,0.97,9.92,0.03,-0.0,-0.05,0.35,4.65,-91.48,9.974176657749751,0
70,0.43,0.97,9.9,0.0,-0.0,-0.05,-0.12,4.69,-91.39,9.956696239215097,0
77,0.46,0.95,9.89,-0.02,-0.0,-0.05,0.19,4.22,-91.58,9.946165090123932,0
84,0.44,0.85,9.85,-0.03,0.0,-0.03,-0.64,4.09,-91.22,9.896393282403444,0
91,0.41,0.8,9.84,-0.03,0.0,-0.03,-0.13,5.85,-86.2,9.88097667237404,0
98,0.37,0.72,9.81,-0.03,0.0,-0.02,-0.03,4.53,-91.04,9.843342928091046,0
105,0.34,0.68,9.82,-0.03,0.01,-0.02,0.34,4.22,-91.48,9.849385767650691,0
112,0.31,0.66,9.84,-0.02,0.0,-0.03,0.56,4.05,-91.23,9.866980287808424,0
119,0.3,0.66,9.84,-0.02,0.0,-0.03,0.61,3.81,-91.58,9.866671171170143,0
126,0.32,0.65,9.88,-0.01,0.01,-0.03,0.5,3.93,-91.77,9.906528150669134,0
133,0.34,0.64,9.87,-0.0,0.0,-0.03,0.35,3.71,-92.59,9.89657011292296,0
