timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label
0,0.52,-0.86,9.85,0.02,0.0,0.01,-2.54,12.53,-88.07,9.90113629842555,0
7,0.53,-0.86,9.85,0.02,0.0,0.01,-2.06,10.48,-89.37,9.901666526398472,0
14,0.54,-0.84,9.84,0.02,-0.0,0.01,-2.21,10.29,-89.18,9.89054093566171,0
21,0.54,-0.85,9.85,0.02,-0.0,0.01,-2.1,10.44,-89.48,9.901343343203486,0
28,0.56,-0.84,9.85,0.02,-0.0,0.01,-2.27,10.07,-89.86,9.901600880665711,0
35,0.52,-0.84,9.85,0.02,-0.0,0.01,-1.99,10.42,-89.58,9.89941917488092,0
42,0.52,-0.83,9.85,0.02,0.0,0.01,-2.12,10.39,-89.46,9.898575655113214,0
49,0.52,-0.83,9.85,0.02,0.0,0.01,-3.08,11.68,-85.3,9.898575655113214,0
56,0.52,-0.84,9.85,0.02,-0.0,0.01,-2.75,10.61,-90.03,9.89941917488092,0
63,0.51,-0.88,9.86,0.02,-0.0,0.01,-2.63,10.49,-91.07,9.912320616283552,0
70,0.51,-0.87,9.85,0.02,-0.0,0.01,-2.13,10.49,-90.57,9.901489786895707,0
77,0.52,-0.83,9.85,0.02,0.0,0.01,-1.99,10.65,-90.31,9.898575655113214,0
84,0.5,-0.83,9.87,0.02,-0.0,0.01,-1.81,11.12,-90.49,9.91744926883924,0
91,0.52,-0.8,9.87,0.02,-0.0,0.01,-1.94,10.84,-85.36,9.91601230334049,0
98,0.54,-0.8,9.86,0.02,-0.0,0.01,-2.69,12.15,-90.06,9.907128746513797,0
105,0.57,-0.78,9.87,0.02,-0.0,0.01,-1.91,10.95,-89.49,9.917166934160178,0
112,0.56,-0.78,9.85,0.02,-0.0,0.01,-1.71,10.63,-90.3,9.896691366310256,0
119,0.54,-0.81,9.86,0.02,-0.0,0.01,-1.84,10.16,-89.42,9.907941259414086,0
126,0.51,-0.8,9.84,0.01,0.0,0.01,-2.21,10.32,-89.52,9.885630986436828,0
133,0.51,-0.81,9.84,0.02,0.0,0.01,-2.13,10.17,-89.36,9.88644526612068,0
140,0.51,-0.81,9.86,0.02,0.0,0.01,-1.78,10.54,-88.23,9.906351497902746,0
147,0.5,-0.81,9.88,0.02,0.0,0.01,-2.7,11.88,-86.07,9.925749341989247,0
154,0.48,-0.81,9.88,0.02,0.0,0.01,-1.49,10.04,-89.59,9.924761961881002,0
161,0.49,-0.75,9.88,0.01,-0.0,0.01,-1.81,9.87,-90.09,9.92053425980678,0
168,0.5,-0.73,9.88,0.01,-0.0,0.01,-1.7,10.58,-89.54,9.919541320040963,0
175,0.51,-0.74,9.87,0.01,-0.0,0.01,-1.64,10.45,-89.33,9.910832457467938,0
182,0.54,-0.73,9.88,0.0,-0.0,0.01,-1.56,10.77,-90.13,9.921637969609655,0
189,0.54,-0.75,9.87,-0.0,-0.0,0.0,-1.52,12.61,-85.9,9.913173054073049,0
196,0.53,-0.79,9.87,-0.01,-0.0,-0.0,-2.44,11.27,-90.72,9.91574001272724,0
203,0.53,-0.82,9.87,-0.01,-0.0,-0.0,-1.78,10.86,-90.25,9.918175235394864,0
210,0.54,-0.86,9.86,-0.01,-0.0,-0.0,-2.05,10.44,-90.59,9.912154155379142,0
217,0.55,-0.92,9.84,-0.01,-0.0,0.0,-2.29,10.68,-89.62,9.898206908324354,0
224,0.55,-0.95,9.83,-0.0,-0.0,0.0,-2.31,10.26,-89.83,9.891102061954472,0
231,0.52,-0.97,9.83,-0.0,-0.0,0.0,-2.09,10.6,-89.13,9.891420524879123,0
238,0.55,-0.96,9.84,0.0,-0.0,0.01,-2.22,10.82,-86.06,9.902004847504369,0
245,0.54,-0.92,9.84,0.01,-0.0,0.01,-2.48,12.69,-87.56,9.897656288233089,0
