timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label,acceleration_magnitude_standardized,acceleration_z_standardized
0,0.85,0.96,9.82,0.0,0.01,0.05,-3.51,3.14,-90.7,9.903358016349808,0,-0.07946014334609594,0.6056711701645923
7,0.84,0.97,9.83,0.0,0.01,0.05,-2.73,2.63,-91.08,9.91339497851266,0,-0.06508327114648223,0.6087863012409724
14,0.8,0.96,9.83,0.0,0.01,0.05,-2.95,2.34,-91.67,9.909111968284543,0,-0.07121822410138783,0.6087863012409724
21,0.79,0.93,9.82,-0.0,0.01,0.05,-3.07,2.56,-91.39,9.89552424078684,0,-0.0906811869529047,0.6056711701645923
28,0.78,0.91,9.81,-0.0,0.0,0.04,-2.6,2.95,-91.51,9.882944905239532,0,-0.10869973644879259,0.6025560390882122
35,0.8,0.89,9.8,0.0,0.0,0.04,-2.6,2.59,-88.92,9.872795956566712,0,-0.12323701731745977,0.5994409080118321
42,0.79,0.89,9.8,0.0,0.0,0.04,-3.14,4.84,-88.92,9.87199068070873,0,-0.12439048864750858,0.5994409080118321
49,0.81,0.94,9.81,0.0,0.0,0.03,-2.46,2.69,-91.08,9.888164642642232,0,-0.10122302224617054,0.6025560390882122
56,0.82,0.95,9.83,0.01,0.0,0.03,-2.53,3.08,-91.19,9.909783045051997,0,-0.0702569785805553,0.6087863012409724
63,0.81,0.98,9.83,0.01,0.0,0.03,-2.65,2.82,-90.66,9.9118817587782,0,-0.06725079617838602,0.6087863012409724
70,0.82,1.01,9.84,0.01,0.0,0.03,-2.57,2.62,-90.35,9.92562844357978,0,-0.04756014403144872,0.6119014323173525
77,0.84,1.04,9.83,0.0,0.0,0.04,-2.76,2.92,-90.94,9.92048889924282,0,-0.05492199026518422,0.6087863012409724
84,0.82,1.05,9.84,0.0,0.0,0.04,-2.5,2.67,-90.41,9.929778446672412,0,-0.04161570953795392,0.6119014323173525
91,0.79,1.05,9.83,-0.0,0.0,0.05,-2.53,4.69,-87.23,9.91743414397091,0,-0.05929759968093805,0.6087863012409724
98,0.77,1.05,9.84,-0.0,0.0,0.05,-2.63,2.82,-90.94,9.925774528972536,0,-0.0473508923686654,0.6119014323173525
