timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status,acceleration_magnitude
0,0.29,2.88,9.43,0,9.864248577565348
3,0.3,2.9,9.41,0,9.851299406677274
6,0.29,2.88,9.41,0,9.845130776175601
9,0.28,2.87,9.42,0,9.851482121995655
11,0.28,2.87,9.42,0,9.851482121995655
14,0.29,2.88,9.41,0,9.845130776175601
17,0.3,2.89,9.43,0,9.86747181399572
20,0.28,2.89,9.43,0,9.866884006615258
23,0.29,2.89,9.43,0,9.867172847376294
25,0.3,2.87,9.44,0,9.87119546964804
28,0.31,2.89,9.44,0,9.877337697983197
31,0.3,2.89,9.43,0,9.86747181399572
34,0.31,2.88,9.42,0,9.855298067537076
36,0.29,2.89,9.42,0,9.857616344735678
39,0.29,2.89,9.43,0,9.867172847376294
42,0.3,2.89,9.42,0,9.857915601180606
45,0.29,2.87,9.41,0,9.84221011765142
48,0.29,2.87,9.42,0,9.851771414319355
51,0.3,2.89,9.42,0,9.857915601180606
54,0.3,2.9,9.43,0,9.870405260170426
57,0.28,2.89,9.43,0,9.866884006615258
59,0.26,2.89,9.41,0,9.847222958783863
62,0.29,2.89,9.42,0,9.857616344735678
65,0.28,2.89,9.43,0,9.866884006615258
68,0.28,2.88,9.42,0,9.854400032472803
71,0.28,2.88,9.43,0,9.863959651174572
73,0.3,2.87,9.43,0,9.861632724858495
76,0.28,2.89,9.42,0,9.85732722394869
79,0.31,2.89,9.43,0,9.867780905553182
82,0.31,2.9,9.42,0,9.861161189231217
85,0.29,2.88,9.44,0,9.873808788912209
87,0.3,2.88,9.43,0,9.864547632811146
90,0.3,2.9,9.43,0,9.870405260170426
93,0.29,2.9,9.44,0,9.879660925355687
96,0.27,2.88,9.42,0,9.854120965362664
99,0.3,2.87,9.42,0,9.852070848303924
102,0.3,2.89,9.42,0,9.857915601180606
105,0.26,2.89,9.43,0,9.866336706194453
107,0.3,2.9,9.43,0,9.870405260170426
110,0.29,2.9,9.43,0,9.870106382405408
113,0.29,2.9,9.43,0,9.870106382405408
116,0.28,2.89,9.44,0,9.876441666916278
119,0.29,2.89,9.43,0,9.867172847376294
121,0.28,2.89,9.42,0,9.85732722394869
124,0.28,2.88,9.44,0,9.87352014227955
127,0.28,2.87,9.44,0,9.87060788401606
130,0.29,2.89,9.43,0,9.867172847376294
133,0.3,2.88,9.41,0,9.84543041212521
135,0.27,2.87,9.42,0,9.851202972226286
138,0.29,2.9,9.41,0,9.850999949243732
141,0.29,2.9,9.41,0,9.850999949243732
144,0.3,2.88,9.42,0,9.854988584468275
147,0.31,2.88,9.43,0,9.864856815990793
150,0.31,2.89,9.41,0,9.848669960964273
