timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
753111,0.31,2.89,9.42,0
753114,0.29,2.88,9.43,0
753117,0.30,2.90,9.41,0
753120,0.29,2.88,9.41,0
753123,0.28,2.87,9.42,0
753125,0.28,2.87,9.42,0
753128,0.29,2.88,9.41,0
753131,0.30,2.89,9.43,0
753134,0.28,2.89,9.43,0
753137,0.29,2.89,9.43,0
753139,0.30,2.87,9.44,0
753142,0.31,2.89,9.44,0
753145,0.30,2.89,9.43,0
753148,0.31,2.88,9.42,0
753150,0.29,2.89,9.42,0
753153,0.29,2.89,9.43,0
753156,0.30,2.89,9.42,0
753159,0.29,2.87,9.41,0
753162,0.29,2.87,9.42,0
753165,0.30,2.89,9.42,0
753168,0.30,2.90,9.43,0
753171,0.28,2.89,9.43,0
753173,0.26,2.89,9.41,0
753176,0.29,2.89,9.42,0
753179,0.28,2.89,9.43,0
753182,0.28,2.88,9.42,0
753185,0.28,2.88,9.43,0
753187,0.30,2.87,9.43,0
753190,0.28,2.89,9.42,0
753193,0.31,2.89,9.43,0
753196,0.31,2.90,9.42,0
753199,0.29,2.88,9.44,0
753201,0.30,2.88,9.43,0
753204,0.30,2.90,9.43,0
753207,0.29,2.90,9.44,0
753210,0.27,2.88,9.42,0
753213,0.30,2.87,9.42,0
753216,0.30,2.89,9.42,0
753219,0.26,2.89,9.43,0
753221,0.30,2.90,9.43,0
753224,0.29,2.90,9.43,0
753227,0.29,2.90,9.43,0
753230,0.28,2.89,9.44,0
753233,0.29,2.89,9.43,0
753235,0.28,2.89,9.42,0
753238,0.28,2.88,9.44,0
753241,0.28,2.87,9.44,0
753244,0.29,2.89,9.43,0
753247,0.30,2.88,9.41,0
753249,0.27,2.87,9.42,0
753252,0.29,2.90,9.41,0
753255,0.29,2.90,9.41,0
753258,0.30,2.88,9.42,0
753261,0.31,2.88,9.43,0
753264,0.31,2.89,9.41,0
753267,0.30,2.89,9.43,0
753269,0.32,2.89,9.41,0
753272,0.30,2.88,9.40,0
753275,0.29,2.89,9.43,0
753278,0.30,2.89,9.42,0
753281,0.31,2.90,9.41,0
753283,0.30,2.88,9.42,0
753286,0.30,2.90,9.44,0
753289,0.28,2.89,9.44,0
753292,0.26,2.87,9.42,0
753295,0.29,2.88,9.42,0
753297,0.29,2.89,9.43,0
753300,0.29,2.89,9.45,0
753303,0.29,2.91,9.42,0
753306,0.31,2.89,9.43,0
753309,0.28,2.88,9.43,0
753312,0.28,2.88,9.43,0
753315,0.29,2.88,9.43,0
753317,0.29,2.87,9.42,0
753320,0.30,2.88,9.42,0
753323,0.32,2.89,9.43,0
753326,0.29,2.90,9.43,0
753329,0.28,2.91,9.42,0
753331,0.28,2.90,9.41,0
753334,0.28,2.89,9.43,0
753337,0.30,2.89,9.42,0
753340,0.30,2.91,9.41,0
753343,0.29,2.91,9.42,0
753345,0.31,2.90,9.43,0
753348,0.29,2.89,9.42,0
753351,0.29,2.88,9.42,0
753354,0.29,2.87,9.42,0
753357,0.30,2.86,9.43,0
753360,0.31,2.88,9.43,0
753363,0.29,2.89,9.43,0
753365,0.30,2.89,9.43,0
753368,0.30,2.85,9.45,0
753371,0.28,2.87,9.44,0
753374,0.30,2.87,9.44,0
753377,0.28,2.88,9.43,0
753379,0.28,2.88,9.46,0
753382,0.30,2.90,9.43,0
753385,0.29,2.89,9.44,0
753388,0.28,2.90,9.43,0
753391,0.28,2.89,9.44,0
753393,0.30,2.89,9.42,0
753396,0.27,2.88,9.42,0
753399,0.29,2.87,9.42,0
753402,0.29,2.89,9.43,0
753405,0.28,2.89,9.40,0
753408,0.29,2.90,9.42,0
753410,0.28,2.89,9.42,0
753413,0.27,2.90,9.43,0
753416,0.30,2.89,9.42,0
753419,0.30,2.87,9.43,0
753422,0.29,2.88,9.44,0
753424,0.29,2.89,9.44,0
753427,0.31,2.87,9.43,0
753430,0.29,2.89,9.44,0
753433,0.32,2.90,9.43,0
753436,0.30,2.90,9.43,0
