timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
114465,-0.11,-0.17,9.89,0
114468,-0.12,-0.19,9.88,0
114471,-0.11,-0.17,9.89,0
114474,-0.14,-0.17,9.87,0
114477,-0.11,-0.18,9.89,0
114479,-0.12,-0.16,9.89,0
114482,-0.13,-0.18,9.86,0
114485,-0.14,-0.17,9.89,0
114488,-0.13,-0.16,9.89,0
114491,-0.11,-0.17,9.88,0
114494,-0.13,-0.17,9.87,0
114497,-0.12,-0.15,9.88,0
114499,-0.13,-0.17,9.87,0
114502,-0.15,-0.16,9.88,0
114505,-0.13,-0.17,9.87,0
114508,-0.14,-0.17,9.88,0
114511,-0.12,-0.16,9.88,0
114514,-0.14,-0.17,9.88,0
114517,-0.13,-0.19,9.87,0
114520,-0.13,-0.15,9.87,0
114523,-0.13,-0.17,9.90,0
114525,-0.11,-0.17,9.90,0
114528,-0.12,-0.16,9.87,0
114531,-0.10,-0.17,9.88,0
114534,-0.13,-0.17,9.87,0
114537,-0.11,-0.18,9.87,0
114540,-0.12,-0.16,9.87,0
114542,-0.11,-0.17,9.89,0
114545,-0.14,-0.16,9.89,0
114548,-0.12,-0.16,9.88,0
114551,-0.13,-0.18,9.88,0
114554,-0.12,-0.16,9.87,0
114557,-0.12,-0.17,9.88,0
114560,-0.12,-0.16,9.87,0
114563,-0.11,-0.18,9.87,0
114566,-0.12,-0.16,9.87,0
114568,-0.12,-0.17,9.88,0
114571,-0.12,-0.15,9.88,0
114574,-0.14,-0.18,9.88,0
114577,-0.11,-0.18,9.87,0
114580,-0.12,-0.17,9.88,0
114583,-0.13,-0.17,9.87,0
114585,-0.12,-0.17,9.88,0
114588,-0.13,-0.18,9.88,0
114591,-0.12,-0.18,9.90,0
114594,-0.11,-0.18,9.89,0
114597,-0.14,-0.16,9.86,0
114600,-0.12,-0.16,9.88,0
114603,-0.13,-0.16,9.89,0
114606,-0.13,-0.17,9.91,0
114609,-0.12,-0.15,9.88,0
114612,-0.14,-0.17,9.90,0
114614,-0.14,-0.17,9.88,0
114617,-0.11,-0.17,9.87,0
114620,-0.13,-0.19,9.88,0
114623,-0.12,-0.16,9.89,0
114626,-0.11,-0.15,9.89,0
114629,-0.12,-0.17,9.88,0
114631,-0.11,-0.14,9.90,0
114634,-0.11,-0.17,9.89,0
114637,-0.14,-0.19,9.90,0
114640,-0.10,-0.18,9.88,0
114643,-0.12,-0.16,9.88,0
114646,-0.12,-0.16,9.89,0
114648,-0.11,-0.17,9.87,0
114652,-0.14,-0.18,9.89,0
114654,-0.11,-0.17,9.90,0
114657,-0.12,-0.18,9.88,0
114660,-0.13,-0.19,9.89,0
114663,-0.12,-0.16,9.90,0
114666,-0.11,-0.17,9.88,0
114669,-0.10,-0.19,9.88,0
114672,-0.13,-0.17,9.86,0
114674,-0.11,-0.19,9.89,0
114677,-0.10,-0.17,9.89,0
114680,-0.11,-0.19,9.89,0
114683,-0.12,-0.16,9.89,0
114686,-0.13,-0.16,9.90,0
114689,-0.13,-0.17,9.87,0
114692,-0.13,-0.16,9.88,0
114694,-0.13,-0.17,9.90,0
114697,-0.12,-0.17,9.86,0
114700,-0.12,-0.17,9.87,0
114703,-0.13,-0.18,9.88,0
114706,-0.14,-0.16,9.89,0
114709,-0.11,-0.19,9.88,0
114712,-0.12,-0.17,9.88,0
114715,-0.13,-0.17,9.88,0
114718,-0.13,-0.17,9.89,0
114720,-0.13,-0.18,9.89,0
114723,-0.12,-0.18,9.88,0
114726,-0.14,-0.15,9.89,0
114729,-0.13,-0.16,9.88,0
114732,-0.12,-0.17,9.88,0
114735,-0.14,-0.17,9.89,0
114737,-0.12,-0.20,9.88,0
114740,-0.11,-0.18,9.88,0
114743,-0.12,-0.19,9.88,0
114746,-0.11,-0.18,9.88,0
114749,-0.10,-0.15,9.88,0
114752,-0.11,-0.17,9.91,0
114755,-0.12,-0.17,9.88,0
114758,-0.12,-0.19,9.88,0
114761,-0.10,-0.17,9.88,0
114763,-0.14,-0.16,9.88,0
114766,-0.13,-0.16,9.88,0
114769,-0.11,-0.16,9.87,0
114772,-0.10,-0.16,9.88,0
114775,-0.12,-0.15,9.88,0
114778,-0.14,-0.17,9.89,0
114781,-0.13,-0.18,9.88,0
114783,-0.11,-0.18,9.88,0
114786,-0.13,-0.16,9.88,0
114789,-0.12,-0.16,9.87,0
114792,-0.12,-0.16,9.88,0
114795,-0.13,-0.15,9.89,0
114798,-0.10,-0.15,9.88,0
114801,-0.14,-0.17,9.88,0
114804,-0.13,-0.19,9.89,0
114807,-0.12,-0.17,9.87,0
114809,-0.12,-0.16,9.88,0
114812,-0.11,-0.18,9.88,0
114815,-0.13,-0.17,9.88,0
114818,-0.11,-0.17,9.89,0
114821,-0.11,-0.17,9.88,0
114824,-0.12,-0.19,9.88,0
114826,-0.12,-0.17,9.90,0
114829,-0.13,-0.17,9.86,0
114832,-0.12,-0.18,9.88,0
114835,-0.12,-0.18,9.87,0
114838,-0.12,-0.17,9.89,0
114841,-0.13,-0.17,9.88,0
114844,-0.10,-0.16,9.88,0
114847,-0.13,-0.14,9.87,0
114849,-0.11,-0.19,9.88,0
114852,-0.11,-0.17,9.89,0
114855,-0.11,-0.17,9.88,0
114858,-0.12,-0.18,9.87,0
114861,-0.11,-0.16,9.87,0
114864,-0.11,-0.18,9.87,0
114867,-0.11,-0.17,9.86,0
114870,-0.13,-0.16,9.86,0
114872,-0.12,-0.16,9.89,0
114875,-0.14,-0.18,9.90,0
114878,-0.13,-0.18,9.88,0
114881,-0.11,-0.16,9.88,0
114884,-0.11,-0.18,9.87,0
114887,-0.12,-0.17,9.87,0
114889,-0.11,-0.17,9.90,0
114892,-0.11,-0.17,9.90,0
114895,-0.12,-0.16,9.87,0
114898,-0.12,-0.17,9.90,0
114901,-0.13,-0.18,9.88,0
114904,-0.13,-0.17,9.88,0
114907,-0.13,-0.16,9.87,0
114910,-0.14,-0.19,9.89,0
114913,-0.11,-0.20,9.89,0
114915,-0.11,-0.18,9.89,0
114918,-0.11,-0.16,9.89,0
114921,-0.13,-0.16,9.89,0
114924,-0.14,-0.17,9.89,0
114927,-0.14,-0.17,9.87,0
114930,-0.13,-0.16,9.88,0
114932,-0.13,-0.16,9.88,0
114935,-0.12,-0.18,9.88,0
114938,-0.12,-0.18,9.86,0
114941,-0.10,-0.16,9.88,0
114944,-0.13,-0.18,9.87,0
114947,-0.12,-0.17,9.88,0
114950,-0.12,-0.18,9.89,0
114953,-0.11,-0.17,9.88,0
114956,-0.13,-0.18,9.88,0
114958,-0.11,-0.18,9.88,0
114961,-0.13,-0.18,9.87,0
114964,-0.13,-0.18,9.88,0
114967,-0.11,-0.16,9.89,0
114970,-0.13,-0.15,9.89,0
114973,-0.12,-0.17,9.91,0
114976,-0.12,-0.17,9.88,0
114978,-0.13,-0.18,9.88,0
114981,-0.11,-0.19,9.89,0
114984,-0.12,-0.17,9.88,0
114987,-0.13,-0.18,9.88,0
114990,-0.12,-0.19,9.88,0
114993,-0.12,-0.18,9.90,0
114996,-0.14,-0.18,9.88,0
114999,-0.13,-0.14,9.88,0
115002,-0.12,-0.14,9.87,0
115004,-0.13,-0.18,9.88,0
115007,-0.14,-0.17,9.87,0
115010,-0.11,-0.16,9.88,0
115013,-0.13,-0.17,9.87,0
115016,-0.12,-0.18,9.89,0
115019,-0.10,-0.15,9.90,0
115021,-0.11,-0.18,9.90,0
115024,-0.11,-0.18,9.89,0
115027,-0.13,-0.18,9.89,0
115030,-0.12,-0.17,9.90,0
115033,-0.13,-0.15,9.88,0
115036,-0.13,-0.16,9.88,0
115038,-0.14,-0.18,9.87,0
115042,-0.13,-0.16,9.88,0
115044,-0.12,-0.17,9.87,0
115047,-0.12,-0.16,9.89,0
115050,-0.13,-0.17,9.88,0
115053,-0.12,-0.17,9.87,0
115056,-0.14,-0.17,9.89,0
115059,-0.13,-0.18,9.88,0
115062,-0.13,-0.17,9.88,0
115065,-0.11,-0.16,9.88,0
115067,-0.11,-0.19,9.88,0
115070,-0.10,-0.19,9.88,0
115073,-0.11,-0.15,9.90,0
115076,-0.11,-0.18,9.89,0
115079,-0.11,-0.16,9.87,0
115082,-0.14,-0.17,9.89,0
115084,-0.11,-0.16,9.88,0
115087,-0.13,-0.17,9.87,0
115090,-0.16,-0.18,9.88,0
115093,-0.12,-0.16,9.89,0
115096,-0.11,-0.16,9.88,0
115099,-0.13,-0.18,9.87,0
115102,-0.13,-0.17,9.87,0
115105,-0.12,-0.16,9.87,0
115108,-0.12,-0.16,9.86,0
115110,-0.14,-0.17,9.86,0
115113,-0.12,-0.17,9.89,0
115116,-0.12,-0.16,9.87,0
115119,-0.12,-0.17,9.87,0
115122,-0.12,-0.17,9.89,0
115125,-0.11,-0.16,9.89,0
115127,-0.13,-0.17,9.89,0
115130,-0.13,-0.16,9.87,0
