timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status,acceleration_magnitude
0,-0.31,0.96,9.83,0,9.881629420292992
2,-0.32,0.97,9.82,0,9.872978274056923
5,-0.31,0.97,9.82,0,9.872659216239564
8,-0.3,0.96,9.82,0,9.871372751547781
11,-0.28,0.96,9.83,0,9.880733778419495
14,-0.3,0.97,9.8,0,9.852456546465964
16,-0.32,0.97,9.82,0,9.872978274056923
19,-0.31,0.98,9.81,0,9.863701130914299
22,-0.31,0.96,9.82,0,9.871681720963252
25,-0.32,0.99,9.82,0,9.87496329107101
28,-0.33,0.97,9.81,0,9.863361495960696
31,-0.33,0.98,9.82,0,9.874294911536722
33,-0.31,0.96,9.82,0,9.871681720963252
36,-0.32,0.95,9.82,0,9.871033380553426
39,-0.33,0.96,9.81,0,9.862383079154856
42,-0.31,0.96,9.81,0,9.861734127424041
45,-0.32,0.97,9.82,0,9.872978274056923
48,-0.31,0.98,9.83,0,9.883592464281396
51,-0.32,0.97,9.83,0,9.882924668335786
54,-0.33,0.98,9.83,0,9.884239980898885
56,-0.31,0.98,9.82,0,9.873646742718721
59,-0.31,0.97,9.81,0,9.862712608608243
62,-0.31,0.98,9.81,0,9.863701130914299
65,-0.31,0.98,9.81,0,9.863701130914299
68,-0.31,0.98,9.81,0,9.863701130914299
71,-0.31,0.96,9.83,0,9.881629420292992
73,-0.32,0.96,9.82,0,9.872000810372738
76,-0.31,0.98,9.83,0,9.883592464281396
79,-0.3,0.98,9.82,0,9.873337834795283
82,-0.31,0.97,9.81,0,9.862712608608243
85,-0.31,0.96,9.81,0,9.861734127424041
88,-0.32,0.96,9.8,0,9.852106373765968
91,-0.32,0.95,9.82,0,9.871033380553426
93,-0.32,0.97,9.82,0,9.872978274056923
96,-0.32,0.97,9.79,0,9.843139742988514
99,-0.32,0.98,9.82,0,9.8739657686261
102,-0.31,0.98,9.84,0,9.893538295271313
105,-0.29,0.96,9.83,0,9.881022214325803
107,-0.32,0.95,9.84,0,9.890930188814396
110,-0.31,0.98,9.82,0,9.873646742718721
113,-0.32,0.97,9.82,0,9.872978274056923
116,-0.31,0.98,9.83,0,9.883592464281396
119,-0.31,0.97,9.82,0,9.872659216239564
122,-0.33,0.97,9.82,0,9.873307449887298
124,-0.32,0.98,9.83,0,9.883911169167801
127,-0.32,0.95,9.83,0,9.88098173260127
130,-0.33,0.97,9.83,0,9.883253512887343
133,-0.32,0.97,9.83,0,9.882924668335786
136,-0.29,0.97,9.8,0,9.852157124203817
139,-0.32,0.98,9.83,0,9.883911169167801
141,-0.33,0.98,9.8,0,9.85440510634711
144,-0.31,0.98,9.82,0,9.873646742718721
147,-0.35,0.97,9.83,0,9.88394152147816
150,-0.31,0.97,9.82,0,9.872659216239564
153,-0.32,0.97,9.82,0,9.872978274056923
156,-0.31,0.98,9.81,0,9.863701130914299
158,-0.32,0.96,9.81,0,9.862053538690612
161,-0.31,0.98,9.83,0,9.883592464281396
164,-0.33,0.98,9.84,0,9.894185160992288
167,-0.31,0.98,9.84,0,9.893538295271313
170,-0.32,0.98,9.81,0,9.864020478486447
173,-0.33,0.96,9.81,0,9.862383079154856
175,-0.32,0.98,9.82,0,9.8739657686261
178,-0.32,0.96,9.83,0,9.88194818848996
181,-0.31,0.97,9.82,0,9.872659216239564
