timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
97249,-0.32,0.99,9.82,0
97252,-0.31,0.96,9.83,0
97254,-0.32,0.97,9.82,0
97257,-0.31,0.97,9.82,0
97260,-0.30,0.96,9.82,0
97263,-0.28,0.96,9.83,0
97266,-0.30,0.97,9.80,0
97268,-0.32,0.97,9.82,0
97271,-0.31,0.98,9.81,0
97274,-0.31,0.96,9.82,0
97277,-0.32,0.99,9.82,0
97280,-0.33,0.97,9.81,0
97283,-0.33,0.98,9.82,0
97285,-0.31,0.96,9.82,0
97288,-0.32,0.95,9.82,0
97291,-0.33,0.96,9.81,0
97294,-0.31,0.96,9.81,0
97297,-0.32,0.97,9.82,0
97300,-0.31,0.98,9.83,0
97303,-0.32,0.97,9.83,0
97306,-0.33,0.98,9.83,0
97308,-0.31,0.98,9.82,0
97311,-0.31,0.97,9.81,0
97314,-0.31,0.98,9.81,0
97317,-0.31,0.98,9.81,0
97320,-0.31,0.98,9.81,0
97323,-0.31,0.96,9.83,0
97325,-0.32,0.96,9.82,0
97328,-0.31,0.98,9.83,0
97331,-0.30,0.98,9.82,0
97334,-0.31,0.97,9.81,0
97337,-0.31,0.96,9.81,0
97340,-0.32,0.96,9.80,0
97343,-0.32,0.95,9.82,0
97345,-0.32,0.97,9.82,0
97348,-0.32,0.97,9.79,0
97351,-0.32,0.98,9.82,0
97354,-0.31,0.98,9.84,0
97357,-0.29,0.96,9.83,0
97359,-0.32,0.95,9.84,0
97362,-0.31,0.98,9.82,0
97365,-0.32,0.97,9.82,0
97368,-0.31,0.98,9.83,0
97371,-0.31,0.97,9.82,0
97374,-0.33,0.97,9.82,0
97376,-0.32,0.98,9.83,0
97379,-0.32,0.95,9.83,0
97382,-0.33,0.97,9.83,0
97385,-0.32,0.97,9.83,0
97388,-0.29,0.97,9.80,0
97391,-0.32,0.98,9.83,0
97393,-0.33,0.98,9.80,0
97396,-0.31,0.98,9.82,0
97399,-0.35,0.97,9.83,0
97402,-0.31,0.97,9.82,0
97405,-0.32,0.97,9.82,0
97408,-0.31,0.98,9.81,0
97410,-0.32,0.96,9.81,0
97413,-0.31,0.98,9.83,0
97416,-0.33,0.98,9.84,0
97419,-0.31,0.98,9.84,0
97422,-0.32,0.98,9.81,0
97425,-0.33,0.96,9.81,0
97427,-0.32,0.98,9.82,0
97430,-0.32,0.96,9.83,0
97433,-0.31,0.97,9.82,0
97436,-0.33,0.96,9.82,0
97439,-0.32,0.96,9.83,0
97441,-0.31,0.97,9.81,0
97444,-0.31,0.96,9.84,0
97447,-0.30,0.97,9.82,0
97450,-0.31,0.95,9.83,0
97453,-0.31,0.97,9.83,0
97456,-0.32,0.96,9.83,0
97458,-0.32,0.95,9.81,0
97461,-0.31,0.95,9.81,0
97464,-0.33,0.98,9.82,0
97467,-0.32,0.96,9.81,0
97470,-0.32,0.97,9.81,0
97473,-0.32,0.95,9.83,0
97475,-0.30,0.94,9.83,0
97478,-0.31,0.96,9.82,0
97481,-0.31,0.95,9.81,0
97484,-0.31,0.98,9.82,0
97487,-0.33,0.96,9.83,0
97490,-0.31,0.96,9.82,0
97492,-0.31,0.95,9.82,0
97495,-0.31,0.97,9.84,0
97498,-0.32,0.98,9.82,0
97501,-0.33,0.99,9.84,0
97504,-0.31,0.98,9.80,0
97507,-0.32,0.97,9.81,0
97509,-0.32,0.98,9.82,0
97512,-0.30,0.98,9.82,0
97515,-0.30,0.98,9.83,0
97518,-0.30,0.97,9.82,0
97521,-0.33,0.97,9.82,0
97523,-0.33,0.99,9.81,0
97526,-0.34,0.98,9.81,0
97529,-0.31,0.98,9.80,0
97532,-0.31,0.98,9.81,0
97535,-0.30,0.98,9.81,0
97538,-0.31,0.98,9.83,0
