timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,acceleration_magnitude
0,5.37,-1.56,8.04,-0.03,0.04,-0.06,9.793472315782589
6,5.31,-1.6,8.08,-0.03,0.05,-0.09,9.800127550190354
12,5.3,-1.71,8.16,-0.02,0.07,-0.12,9.879256044864917
18,5.3,-1.71,8.16,-0.02,0.07,-0.12,9.879256044864917
24,5.34,-1.87,8.23,-0.03,0.08,-0.14,9.987261887023891
30,5.44,-2.09,8.23,-0.04,0.08,-0.16,10.084374050976095
36,5.44,-2.09,8.23,-0.04,0.08,-0.16,10.084374050976095
42,5.61,-2.27,8.2,-0.04,0.09,-0.18,10.191417958262727
48,5.75,-2.3,8.17,-0.04,0.09,-0.19,10.25189738536238
54,5.75,-2.3,8.17,-0.03,0.1,-0.19,10.25189738536238
60,5.76,-2.17,8.17,-0.01,0.12,-0.2,10.229144636771933
66,5.76,-2.17,8.17,-0.01,0.12,-0.2,10.229144636771933
72,5.73,-2.04,8.22,0.0,0.13,-0.2,10.22560022688155
78,5.72,-1.91,8.26,0.0,0.15,-0.21,10.227125695912806
84,5.72,-1.91,8.26,0.0,0.15,-0.21,10.227125695912806
90,5.68,-1.74,8.26,-0.01,0.16,-0.23,10.174359930727828
96,5.65,-1.64,8.25,-0.01,0.17,-0.25,10.132847576076529
102,5.65,-1.64,8.25,-0.01,0.17,-0.25,10.132847576076529
108,5.58,-1.54,8.25,-0.02,0.19,-0.25,10.078219088708085
114,5.53,-1.43,8.27,-0.02,0.2,-0.25,10.05080593783404
120,5.53,-1.43,8.27,-0.02,0.2,-0.25,10.05080593783404
126,5.52,-1.41,8.35,-0.04,0.2,-0.26,10.108461801876683
132,5.6,-1.51,8.45,-0.04,0.2,-0.26,10.249029222321496
138,5.6,-1.51,8.45,-0.06,0.21,-0.28,10.249029222321496
144,5.72,-1.65,8.51,-0.08,0.22,-0.31,10.385615051599014
150,5.72,-1.65,8.51,-0.08,0.22,-0.31,10.385615051599014
156,5.88,-1.72,8.54,-0.08,0.23,-0.34,10.51020456508816
162,6.04,-1.72,8.53,-0.08,0.25,-0.36,10.592492624495897
168,6.04,-1.72,8.53,-0.08,0.25,-0.36,10.592492624495897
174,6.2,-1.71,8.47,-0.08,0.28,-0.36,10.63508345054236
180,6.33,-1.68,8.38,-0.08,0.31,-0.35,10.635586490645451
186,6.33,-1.68,8.38,-0.08,0.31,-0.35,10.635586490645451
192,6.42,-1.64,8.3,-0.08,0.34,-0.32,10.620546125317663
198,6.36,-1.58,8.25,-0.06,0.38,-0.28,10.536057137278632
204,6.36,-1.58,8.25,-0.06,0.38,-0.28,10.536057137278632
210,6.23,-1.55,8.26,-0.05,0.41,-0.24,10.461500848348674
216,6.1,-1.58,8.35,-0.05,0.41,-0.24,10.460826927160204
222,6.1,-1.58,8.35,-0.04,0.44,-0.21,10.460826927160204
228,5.99,-1.6,8.46,-0.04,0.46,-0.21,10.488646242485252
234,5.99,-1.6,8.46,-0.04,0.46,-0.21,10.488646242485252
240,5.92,-1.68,8.5,-0.05,0.49,-0.24,10.493750521143525
246,5.87,-1.71,8.43,-0.07,0.52,-0.28,10.413736121104662
252,5.87,-1.71,8.43,-0.07,0.52,-0.28,10.413736121104662
258,5.82,-1.67,8.24,-0.1,0.54,-0.32,10.225404637470342
264,5.77,-1.73,7.96,-0.12,0.56,-0.33,9.982354431695962
270,5.77,-1.73,7.96,-0.12,0.56,-0.33,9.982354431695962
276,5.65,-1.8,7.69,-0.12,0.58,-0.31,9.710746624230291
282,5.48,-1.83,7.53,-0.09,0.6,-0.27,9.491058950401689
288,5.48,-1.83,7.53,-0.09,0.6,-0.27,9.491058950401689
294,5.22,-1.77,7.53,-0.04,0.61,-0.23,9.331784395280465
300,5.0,-1.65,7.67,-0.04,0.61,-0.23,9.3033004896112
306,5.0,-1.65,7.67,-0.01,0.61,-0.22,9.3033004896112
312,4.94,-1.69,7.88,-0.01,0.6,-0.23,9.452729764464866
318,4.94,-1.69,7.88,-0.01,0.6,-0.23,9.452729764464866
324,4.94,-1.77,8.06,-0.01,0.59,-0.25,9.617697229586717
330,4.96,-1.86,8.22,-0.0,0.58,-0.26,9.779038807572041
336,4.96,-1.86,8.22,-0.0,0.58,-0.26,9.779038807572041
342,5.03,-1.95,8.35,0.01,0.58,-0.27,9.94112166709572
348,5.13,-1.98,8.42,0.03,0.58,-0.28,10.056525244834818
354,5.13,-1.98,8.42,0.03,0.58,-0.28,10.056525244834818
360,5.25,-1.91,8.41,0.03,0.57,-0.29,10.096469680041633
366,5.39,-1.9,8.25,0.01,0.58,-0.31,10.036164606063414
372,5.39,-1.9,8.25,0.01,0.58,-0.31,10.036164606063414
378,5.56,-2.04,8.04,-0.02,0.58,-0.3,9.985829960499025
384,5.66,-2.13,7.84,-0.02,0.58,-0.3,9.901419090211261
390,5.66,-2.13,7.84,-0.01,0.59,-0.25,9.901419090211261
396,5.67,-2.14,7.77,0.02,0.61,-0.17,9.854004262227614
402,5.67,-2.14,7.77,0.02,0.61,-0.17,9.854004262227614
408,5.69,-2.19,7.74,0.06,0.63,-0.09,9.85290820012041
414,5.63,-2.2,7.81,0.1,0.65,0.0,9.875879707651364
420,5.63,-2.2,7.81,0.1,0.65,0.0,9.875879707651364
426,5.39,-2.07,7.95,0.16,0.68,0.08,9.825451643563262
432,5.11,-1.99,8.12,0.2,0.69,0.13,9.79829577018371
438,5.11,-1.99,8.12,0.2,0.69,0.13,9.79829577018371
444,4.78,-1.84,8.33,0.23,0.69,0.15,9.778696232116019
450,4.49,-1.7,8.51,0.25,0.68,0.15,9.770885323244768
456,4.49,-1.7,8.51,0.25,0.68,0.15,9.770885323244768
462,4.24,-1.52,8.63,0.26,0.67,0.13,9.734726498469282
468,4.11,-1.46,8.65,0.26,0.67,0.13,9.687424838418103
474,4.11,-1.46,8.65,0.25,0.65,0.12,9.687424838418103
480,4.05,-1.48,8.57,0.25,0.63,0.12,9.593633305479212
486,4.05,-1.48,8.57,0.25,0.63,0.12,9.593633305479212
