timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude
0,4.58,-0.21,8.69,0.05,-0.23,-0.49,-16.52,15.58,-93.12,9.825304066541655
7,4.62,-0.08,8.89,0.05,-0.23,-0.49,-16.11,15.55,-94.42,10.019126708451191
14,4.63,-0.06,8.94,0.02,-0.23,-0.49,-16.02,15.14,-93.55,10.067973976923064
21,4.71,-0.09,8.95,0.02,-0.22,-0.51,-16.38,15.67,-94.08,10.114084239316973
28,4.77,-0.13,8.9,-0.02,-0.22,-0.51,-16.37,15.83,-94.1,10.098504839826537
35,4.92,-0.35,8.68,-0.06,-0.22,-0.53,-16.43,16.56,-89.1,9.98355147229682
42,4.99,-0.48,8.56,-0.08,-0.21,-0.54,-17.47,16.46,-93.69,9.91988407190326
49,5.13,-0.74,8.29,-0.08,-0.19,-0.54,-16.85,15.78,-93.55,9.77694226228221
56,5.19,-0.83,8.19,-0.09,-0.19,-0.54,-16.9,15.84,-93.35,9.731449018517232
63,5.16,-0.9,8.22,-0.07,-0.16,-0.52,-17.16,15.68,-93.55,9.746999538319473
70,5.06,-0.93,8.37,-0.06,-0.13,-0.49,-17.33,15.39,-93.16,9.824734093093817
77,4.74,-0.85,8.83,-0.06,-0.13,-0.45,-17.28,15.16,-92.79,10.057783055922414
84,4.51,-0.69,9.13,-0.05,-0.11,-0.45,-16.98,15.21,-91.33,10.206522424410775
91,4.12,-0.53,9.65,-0.04,-0.09,-0.39,-18.27,16.92,-88.51,10.506083951691991
98,3.99,-0.51,9.81,-0.05,-0.07,-0.38,-17.35,14.81,-92.21,10.602655327794071
105,3.93,-0.61,9.63,-0.05,-0.07,-0.43,-17.1,15.07,-92.5,10.418920289550162
112,4.06,-0.71,9.33,-0.08,-0.04,-0.43,-17.6,15.36,-92.31,10.199833331971655
119,4.55,-0.94,8.53,-0.12,-0.01,-0.55,-17.55,15.2,-92.22,9.713238388920555
126,4.8,-1.01,8.15,-0.14,0.03,-0.66,-17.71,15.1,-92.53,9.512234227561892
133,5.24,-1.06,7.59,-0.14,0.03,-0.68,-17.7,17.89,-88.92,9.283819257180744
140,5.34,-1.15,7.36,-0.14,0.09,-0.68,-18.63,15.54,-92.94,9.165571449724235
147,5.26,-1.13,7.14,-0.13,0.16,-0.6,-17.86,15.16,-93.13,8.94002796416208
154,5.01,-1.04,7.15,-0.11,0.25,-0.47,-18.14,15.83,-92.82,8.792280705255036
161,4.14,-0.83,7.62,-0.11,0.25,-0.32,-17.3,15.8,-92.2,8.711653115224458
168,3.59,-0.78,8.12,-0.1,0.32,-0.32,-17.26,15.33,-91.79,8.912401472106156
175,2.65,-0.87,9.43,-0.09,0.37,-0.18,-17.3,15.65,-92.59,9.833834450508101
182,2.28,-0.98,10.16,-0.12,0.38,-0.1,-17.23,15.67,-88.85,10.458699727977661
189,2.12,-1.07,11.55,-0.12,0.38,-0.12,-17.74,17.42,-90.5,11.791598704162213
196,2.21,-0.98,12.21,-0.13,0.36,-0.12,-17.16,15.01,-91.84,12.447031774684278
203,2.66,-0.39,13.01,-0.11,0.34,-0.22,-16.95,15.48,-91.82,13.284871094594783
210,2.95,0.07,13.11,-0.11,0.33,-0.38,-16.98,15.19,-91.6,13.437987200470166
217,3.52,0.88,12.75,-0.11,0.33,-0.49,-16.71,15.23,-92.74,13.256217409200861
224,3.77,1.1,12.39,-0.16,0.36,-0.49,-17.0,15.26,-92.66,12.997499759569147
231,4.27,0.87,11.69,-0.23,0.39,-0.51,-16.38,15.08,-92.94,12.475812598784898
238,4.3,0.66,11.38,-0.29,0.44,-0.47,-17.41,16.44,-93.35,12.183185133617563
245,4.58,-0.18,10.9,-0.29,0.44,-0.44,-16.79,15.27,-93.44,11.824499989428729
252,4.67,-0.38,10.78,-0.33,0.47,-0.44,-16.24,15.62,-93.38,11.754220518605221
259,4.73,-0.46,10.52,-0.32,0.51,-0.41,-16.43,15.65,-93.13,11.543608621224127
266,4.79,-0.43,10.4,-0.27,0.54,-0.34,-16.09,15.52,-92.91,11.458141210510544
273,4.8,-0.18,10.07,-0.27,0.54,-0.22,-15.87,15.87,-92.88,11.156939544516678
280,4.72,0.02,9.84,-0.23,0.57,-0.22,-16.03,16.3,-87.84,10.913496231730692
287,4.43,0.34,9.41,-0.19,0.6,-0.08,-16.52,17.33,-92.12,10.406180855626141
294,4.19,0.47,9.24,-0.15,0.63,0.04,-15.86,15.65,-91.79,10.156505304483428
301,3.6,0.44,8.99,-0.15,0.63,0.09,-15.01,15.59,-92.27,9.694003301010373
308,3.27,0.33,8.93,-0.12,0.66,0.09,-14.95,15.61,-91.87,9.51560297616499
315,2.61,0.16,8.88,-0.11,0.69,0.09,-14.53,15.54,-91.83,9.257002754671731
322,2.3,0.11,8.91,-0.08,0.69,0.05,-14.24,15.36,-92.25,9.202727856456477
329,1.82,0.16,8.96,-0.08,0.69,-0.0,-14.13,15.87,-90.98,9.144375320381377
336,1.62,0.23,9.0,-0.05,0.68,-0.0,-15.16,17.45,-88.69,9.147529721187027
343,1.36,0.3,9.04,-0.02,0.67,-0.05,-14.06,15.73,-92.66,9.146649659848133
350,1.22,0.3,9.04,-0.02,0.65,-0.09,-13.83,15.57,-93.39,9.126883367283707
357,1.14,0.26,9.05,-0.02,0.65,-0.15,-13.77,15.9,-93.44,9.12522328493939
364,1.12,0.2,9.09,-0.02,0.64,-0.15,-13.17,16.19,-93.67,9.16092244263644
371,1.19,0.09,9.09,-0.04,0.62,-0.21,-12.51,16.05,-93.47,9.168004144850721
378,1.26,0.0,9.06,-0.05,0.59,-0.27,-12.72,17.71,-88.44,9.147196291760661
385,1.35,-0.09,8.95,-0.05,0.59,-0.27,-13.14,16.27,-93.25,9.05169044985521
392,1.4,-0.17,8.88,-0.06,0.56,-0.31,-12.22,15.67,-93.07,8.991290229994805
399,1.49,-0.23,8.69,-0.06,0.51,-0.35,-12.5,15.71,-93.23,8.819812923186069
406,1.56,-0.29,8.6,-0.05,0.46,-0.37,-12.12,15.43,-92.47,8.745152943202308
413,1.69,-0.28,8.47,-0.05,0.46,-0.37,-12.25,14.91,-92.71,8.641492926572353
420,1.77,-0.26,8.47,-0.03,0.4,-0.39,-12.15,15.61,-92.72,8.65687010414272
427,1.92,-0.22,8.54,-0.01,0.34,-0.4,-11.52,15.57,-89.42,8.755935129956136
434,1.99,-0.26,8.62,0.0,0.29,-0.44,-12.77,17.2,-90.62,8.850542356262693
441,2.07,-0.33,8.75,0.0,0.29,-0.44,-11.96,15.49,-92.91,8.997571894683587
448,2.1,-0.39,8.81,0.01,0.24,-0.48,-12.26,14.78,-93.13,9.065219247210738
455,2.08,-0.39,8.85,0.02,0.21,-0.52,-12.1,14.91,-93.26,9.099505481068737
462,1.99,-0.33,8.87,0.04,0.18,-0.54,-12.25,15.21,-93.36,9.096477340157563
469,1.86,-0.33,8.89,0.04,0.18,-0.54,-12.41,14.98,-94.17,9.088487222855079
476,1.76,-0.34,8.9,0.08,0.15,-0.54,-12.35,17.47,-88.78,9.078722377074872
483,1.55,-0.34,8.79,0.1,0.13,-0.54,-12.25,15.26,-93.67,8.93208822168702
490,1.47,-0.36,8.7,0.12,0.1,-0.55,-11.59,15.1,-93.31,8.830656827212797
497,1.35,-0.36,8.43,0.12,0.1,-0.55,-11.91,14.95,-93.2,8.544998537156106
504,1.3,-0.33,8.31,0.14,0.06,-0.56,-11.87,14.69,-92.79,8.41754120869034
511,1.18,-0.21,8.2,0.18,0.03,-0.57,-12.15,14.02,-92.65,8.287128573878892
518,1.1,-0.1,8.19,0.23,-0.01,-0.58,-12.17,14.0,-93.03,8.264145448865236
525,0.93,0.09,8.32,0.23,-0.01,-0.58,-12.03,14.05,-87.17,8.372299564635753
532,0.88,0.19,8.44,0.28,-0.05,-0.59,-12.63,15.43,-93.13,8.487879593867953
539,0.82,0.36,8.71,0.31,-0.1,-0.63,-12.39,13.68,-93.04,8.755917998702365
546,0.81,0.44,8.84,0.33,-0.15,-0.68,-11.94,13.5,-92.62,8.887930017726287
553,0.88,0.53,9.0,0.33,-0.15,-0.68,-12.15,13.33,-92.96,9.058438055205764
560,0.91,0.61,9.01,0.33,-0.19,-0.73,-12.77,13.56,-93.22,9.076359402315445
567,0.91,0.62,8.91,0.33,-0.23,-0.79,-12.95,13.24,-93.19,8.97778369086714
574,0.88,0.53,8.84,0.31,-0.26,-0.85,-13.07,14.6,-90.27,8.899488749360831
581,0.75,0.32,8.75,0.31,-0.26,-0.85,-13.23,13.67,-94.34,8.787912152496746
588,0.67,0.19,8.79,0.28,-0.29,-0.93,-13.21,13.27,-93.55,8.817545009808569
595,0.63,0.0,9.1,0.26,-0.32,-1.03,-13.5,13.14,-93.41,9.12178162422232
602,0.62,-0.18,9.52,0.24,-0.35,-1.12,-13.58,12.73,-93.58,9.54186564566909
609,0.89,-0.82,11.13,0.24,-0.35,-1.12,-13.75,12.77,-93.88,11.195597348958206
616,1.32,-1.09,12.2,0.2,-0.39,-1.21,-13.86,12.35,-93.61,12.319517035988058
623,2.48,-1.18,14.66,0.16,-0.44,-1.29,-14.76,13.64,-88.06,14.915039389823951
630,3.12,-0.81,15.63,0.12,-0.48,-1.32,-15.8,12.04,-92.55,15.958928535462524
637,4.24,0.66,16.29,0.12,-0.48,-1.32,-15.1,11.82,-92.46,16.845690843654943
644,4.63,1.41,15.86,0.01,-0.46,-1.22,-15.64,11.78,-91.92,16.582056567265713
651,4.46,1.24,13.32,-0.22,-0.39,-0.93,-15.67,11.65,-91.77,14.101475100144667
658,3.89,0.39,11.94,-0.53,-0.29,-0.62,-15.81,12.25,-92.25,12.56374944035418
665,2.66,-1.5,9.77,-0.53,-0.29,-0.62,-15.86,12.69,-92.17,10.236136966649088
672,2.12,-2.2,9.06,-0.7,-0.2,-0.53,-15.78,12.36,-90.35,9.561276065463229
679,1.33,-3.13,8.4,-0.65,-0.19,-0.63,-17.49,14.22,-90.41,9.062328619069163
686,1.13,-3.46,8.45,-0.51,-0.23,-0.84,-16.75,12.6,-93.1,9.20059780666452
693,1.58,-3.64,8.72,-0.51,-0.23,-0.84,-16.49,13.08,-92.68,9.580417527435849
700,2.08,-3.33,8.95,-0.37,-0.3,-1.03,-16.56,13.07,-92.66,9.77332082764093
707,3.16,-2.51,9.56,-0.22,-0.37,-1.11,-16.95,13.08,-93.58,10.376863688032142
