timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude
89005,-1.64,-8.29,4.68,-0.57,0.22,0.11,1.58,-30.9,-8.68,9.660025879882516
89012,-1.66,-8.34,4.62,-0.58,0.22,0.09,0.86,-28.97,-6.61,9.677582342713494
89019,-1.72,-8.58,4.47,-0.61,0.22,0.05,1.86,-31.04,-9.25,9.826275998566294
89026,-1.75,-8.68,4.38,-0.64,0.22,0.03,1.99,-31.07,-8.86,9.878729675418798
89033,-1.66,-8.92,4.23,-0.64,0.22,0.03,1.9,-31.34,-8.56,10.010739233443251
89040,-1.57,-9.01,4.17,-0.64,0.22,0.01,2.59,-30.82,-8.21,10.051562067658937
89047,-1.43,-8.93,4.17,-0.61,0.22,-0.02,1.93,-30.94,-8.01,9.958850335254567
89054,-1.34,-8.89,4.16,-0.58,0.21,-0.04,1.77,-30.91,-7.79,9.90622531542666
89061,-1.17,-8.74,4.15,-0.58,0.21,-0.04,1.55,-29.22,-2.56,9.74571700799895
89068,-1.05,-8.61,4.15,-0.55,0.21,-0.04,1.3,-31.04,-7.51,9.615461507384865
89075,-0.98,-8.38,4.18,-0.53,0.2,-0.02,1.53,-31.1,-7.23,9.415795239914685
89082,-0.99,-8.34,4.19,-0.52,0.2,0.02,1.81,-31.09,-7.19,9.385723200691569
89089,-1.15,-8.48,4.09,-0.52,0.2,0.02,1.84,-30.58,-6.65,9.484777277300717
89096,-1.32,-8.64,4.03,-0.53,0.21,0.06,1.81,-30.43,-6.85,9.624598692932604
89103,-1.56,-8.88,3.89,-0.54,0.23,0.09,1.71,-30.18,-2.37,9.819373707115949
89110,-1.71,-8.92,3.87,-0.54,0.24,0.1,1.45,-28.88,-3.35,9.872557925887293
89117,-1.86,-8.82,3.87,-0.54,0.24,0.1,2.5,-30.06,-5.85,9.809633020658826
89124,-1.93,-8.69,3.92,-0.53,0.24,0.1,2.21,-30.04,-5.16,9.726633538897207
89131,-1.96,-8.48,4.01,-0.51,0.24,0.08,1.89,-30.04,-5.19,9.582906657168271
89138,-1.97,-8.39,4.04,-0.5,0.24,0.05,2.0,-30.85,-4.47,9.518119562182438
89145,-1.84,-8.25,4.03,-0.5,0.24,0.05,2.18,-31.09,-4.52,9.364240492426497
89152,-1.72,-8.23,4.01,-0.49,0.23,-0.0,2.28,-30.82,-4.46,9.315116746450364
89159,-1.56,-8.21,3.97,-0.49,0.22,-0.05,1.32,-28.85,0.5,9.251951145569242
89166,-1.49,-8.2,3.94,-0.49,0.22,-0.07,2.6,-30.44,-3.41,9.218660423293615
89173,-1.43,-8.19,3.88,-0.49,0.22,-0.07,2.63,-30.84,-3.89,9.174715254437055
89180,-1.47,-8.17,3.88,-0.5,0.24,-0.06,2.29,-30.96,-3.51,9.163198131656872
89187,-1.66,-8.05,3.94,-0.51,0.25,-0.03,2.1,-30.74,-3.6,9.114916346297424
89194,-1.71,-7.97,3.95,-0.52,0.26,0.01,1.97,-30.49,-3.26,9.058007507172864
89201,-1.75,-7.84,4.03,-0.52,0.26,0.01,2.08,-29.19,1.46,8.987157503905225
89208,-1.77,-7.83,4.04,-0.54,0.26,0.03,1.72,-28.09,-2.06,8.986845942821097
89215,-1.79,-7.84,3.93,-0.58,0.25,0.02,2.67,-29.93,-3.51,8.950675952127861
89222,-1.77,-7.89,3.86,-0.63,0.25,0.0,2.62,-29.32,-2.56,8.960167409150344
89229,-1.57,-8.11,3.72,-0.63,0.25,0.0,2.76,-29.85,-2.62,9.059547450066146
89236,-1.42,-8.24,3.64,-0.67,0.23,-0.01,2.5,-30.01,-2.57,9.119407875514726
89243,-1.33,-8.38,3.58,-0.7,0.21,-0.02,2.5,-29.99,-2.05,9.20921820786108
89250,-1.39,-8.36,3.6,-0.72,0.2,-0.01,2.31,-29.92,0.56,9.207697866459348
89257,-1.55,-8.4,3.64,-0.72,0.2,-0.01,1.68,-28.6,0.8,9.285047118889596
89264,-1.58,-8.45,3.6,-0.74,0.2,0.03,2.78,-30.25,0.38,9.319812229868152
89271,-1.68,-8.43,3.45,-0.79,0.2,0.06,2.75,-30.12,0.86,9.262278337428649
89278,-1.78,-8.42,3.38,-0.81,0.2,0.07,3.0,-30.4,0.56,9.246036988894216
89285,-1.89,-8.57,3.35,-0.81,0.2,0.07,3.08,-30.81,1.46,9.393588238793525
89292,-2.16,-8.69,3.33,-0.83,0.22,0.04,3.46,-29.87,0.89,9.553564779703962
89299,-2.29,-8.88,3.28,-0.86,0.24,-0.0,2.75,-29.76,0.96,9.739450703196768
89306,-2.35,-8.93,3.23,-0.89,0.24,-0.04,2.63,-28.38,5.44,9.782653014392364
89313,-2.26,-9.0,3.09,-0.89,0.24,-0.04,2.0,-29.95,2.03,9.780373203513248
89320,-2.07,-9.02,3.06,-0.92,0.22,-0.07,2.38,-29.68,2.72,9.74725089448302
89327,-2.0,-9.1,3.07,-0.93,0.21,-0.08,2.32,-29.61,2.44,9.809938837729824
89334,-1.76,-9.22,3.06,-0.96,0.19,-0.1,2.67,-29.04,3.32,9.872669345217636
89341,-1.72,-9.5,3.03,-0.96,0.19,-0.1,2.56,-28.79,4.5,10.118759805430702
89348,-1.6,-9.59,2.98,-1.0,0.17,-0.11,2.25,-29.06,8.4,10.168997000687924
89355,-1.44,-9.74,2.81,-1.02,0.16,-0.1,1.74,-28.12,6.61,10.239008741084266
89362,-0.84,-9.7,2.65,-1.02,0.14,-0.07,2.57,-30.02,5.83,10.090495527970862
89369,-0.86,-9.92,2.71,-1.02,0.14,-0.07,2.37,-29.76,5.5,10.3194040525604
89376,-0.57,-10.01,2.62,-1.02,0.14,-0.04,2.63,-29.74,6.46,10.362885698491516
89383,-0.52,-10.47,2.23,-1.0,0.14,0.01,2.5,-29.93,6.18,10.717471716780969
89390,-0.63,-10.92,1.86,-1.05,0.15,0.09,2.56,-29.39,7.28,11.09517462683666
89397,-0.84,-11.87,1.08,-1.05,0.15,0.09,2.95,-29.45,7.64,11.948594059553615
89404,-1.43,-12.15,0.74,-1.11,0.18,0.19,2.38,-27.48,11.59,12.256222909200044
89411,-1.76,-12.02,0.32,-1.08,0.2,0.3,2.94,-29.96,8.49,12.152382482459972
89418,-2.17,-11.75,0.16,-0.99,0.21,0.37,2.65,-30.09,8.99,11.94976987226114
89425,-2.21,-11.21,-0.18,-0.99,0.21,0.37,2.73,-30.25,8.36,11.42718688041812
89432,-2.39,-10.97,-0.21,-0.92,0.2,0.35,3.19,-30.18,8.68,11.229296505124443
89439,-2.59,-10.76,-0.12,-0.85,0.24,0.28,3.32,-29.89,9.59,11.06797632812792
89446,-2.99,-10.72,-0.17,-0.8,0.28,0.19,3.45,-29.03,14.06,11.130471688118163
89453,-3.07,-10.83,-0.29,-0.8,0.28,0.19,3.2,-28.33,10.16,11.260457361936949
89460,-2.98,-10.86,-0.4,-0.78,0.3,0.06,3.76,-29.58,10.82,11.26854027813718
89467,-2.79,-10.72,-0.39,-0.74,0.29,-0.08,3.3,-30.34,10.26,11.083979429789649
89474,-2.39,-10.54,-0.27,-0.64,0.27,-0.21,3.35,-29.99,10.52,10.810948154532978
89481,-2.17,-10.39,0.03,-0.64,0.27,-0.21,3.24,-30.18,10.84,10.614231013125728
89488,-1.92,-10.46,0.12,-0.55,0.26,-0.3,3.23,-30.53,11.37,10.63543134997354
89495,-1.79,-10.62,0.03,-0.51,0.24,-0.34,3.08,-30.05,13.88,10.769837510380553
89502,-1.59,-11.1,-0.11,-0.48,0.2,-0.31,2.37,-28.27,15.43,11.213839663558597
89509,-1.59,-11.33,-0.33,-0.48,0.2,-0.31,2.66,-29.92,12.41,11.445780882054311
89516,-1.58,-11.81,-0.44,-0.43,0.17,-0.21,2.85,-29.92,11.62,11.923342652125704
89523,-1.57,-11.89,-0.63,-0.37,0.14,-0.07,2.6,-30.06,11.56,12.009741878991406
89530,-1.46,-11.62,-0.69,-0.28,0.13,0.04,2.73,-30.01,11.78,11.731670810246936
89537,-1.38,-11.19,-0.62,-0.28,0.13,0.04,2.6,-29.83,12.1,11.291806764198544
89544,-1.14,-10.25,-0.58,-0.2,0.13,0.07,1.97,-27.92,15.96,10.329496599544433
89551,-1.0,-9.86,-0.38,-0.13,0.15,0.05,2.21,-29.25,11.69,9.917862672975463
89558,-0.85,-9.43,-0.23,-0.1,0.16,0.02,2.41,-29.74,11.52,9.471024231834695
89565,-0.83,-9.43,0.01,-0.1,0.16,0.02,2.88,-29.3,12.29,9.46646185224448
89572,-0.84,-9.83,0.08,-0.1,0.18,0.03,2.88,-29.73,12.19,9.8661491981421
89579,-0.96,-10.06,0.18,-0.12,0.18,0.06,2.16,-30.15,12.32,10.107304289473037
89586,-1.32,-10.16,0.15,-0.11,0.17,0.12,2.76,-29.99,12.67,10.246487202939356
89593,-1.5,-10.12,0.13,-0.11,0.17,0.12,2.41,-29.82,17.28,10.23138798013251
89600,-1.9,-9.88,0.08,-0.09,0.16,0.19,1.75,-28.37,13.55,10.06135179784506
89607,-2.09,-9.75,0.02,-0.08,0.15,0.22,2.41,-30.42,13.14,9.971509414326398
89614,-2.31,-9.51,0.03,-0.09,0.15,0.18,2.41,-30.33,13.27,9.786577542736786
89621,-2.3,-9.39,-0.02,-0.09,0.15,0.18,2.7,-30.36,12.44,9.667600529604025
89628,-2.06,-9.24,-0.11,-0.1,0.14,0.1,2.75,-30.08,12.51,9.46748646685064
89635,-1.88,-9.26,-0.28,-0.13,0.13,0.02,2.63,-29.67,12.98,9.45306299566442
89642,-1.6,-9.53,-0.31,-0.14,0.13,-0.02,2.56,-30.14,13.27,9.668350428072
89649,-1.53,-9.7,-0.34,-0.14,0.13,-0.02,2.03,-32.01,12.58,9.82580785482802
89656,-1.4,-10.01,-0.33,-0.12,0.12,-0.01,2.78,-30.11,12.01,10.112813653973854
89663,-1.33,-10.08,-0.32,-0.09,0.11,0.01,2.38,-30.34,12.74,10.172398930439172
89670,-1.32,-10.01,-0.29,-0.05,0.1,0.04,2.95,-30.17,12.57,10.10082174874896
89677,-1.31,-9.89,-0.14,-0.05,0.1,0.04,3.19,-29.74,12.7,9.977364381438615
89684,-1.51,-9.56,-0.03,0.0,0.1,0.08,2.85,-29.85,12.83,9.678563943065107
89691,-1.63,-9.45,0.16,0.03,0.1,0.13,3.05,-29.16,18.11,9.590881085698015
89698,-1.85,-9.37,0.23,0.03,0.09,0.17,2.19,-29.1,12.67,9.553653751314204
