timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
43915,3.85,-2.82,8.69,-0.01,0.01,0.04
43921,3.82,-2.73,8.68,0.00,0.01,0.02
43927,3.83,-2.63,8.67,0.00,0.00,0.01
43933,3.83,-2.63,8.67,0.00,0.00,0.01
43939,3.89,-2.58,8.64,0.00,0.00,0.00
43945,3.97,-2.58,8.60,-0.00,-0.00,-0.00
43951,3.97,-2.58,8.60,-0.00,-0.00,-0.00
43957,4.06,-2.66,8.60,-0.01,-0.00,0.00
43963,4.13,-2.75,8.63,-0.01,-0.00,0.00
43969,4.13,-2.75,8.63,-0.00,-0.00,0.00
43975,4.19,-2.79,8.67,0.00,-0.00,0.00
43981,4.19,-2.79,8.67,0.00,-0.00,0.00
43987,4.23,-2.75,8.69,0.00,0.00,0.00
43993,4.20,-2.70,8.70,-0.00,0.01,0.01
43999,4.20,-2.70,8.70,-0.00,0.01,0.01
44005,4.17,-2.68,8.70,-0.00,0.01,0.02
44011,4.12,-2.70,8.71,-0.01,0.01,0.04
44017,4.12,-2.70,8.71,-0.01,0.01,0.04
44023,4.04,-2.76,8.71,-0.02,0.01,0.05
44029,3.99,-2.85,8.70,-0.02,0.01,0.06
44035,3.99,-2.85,8.70,-0.02,0.01,0.06
44041,3.94,-2.87,8.73,-0.01,0.01,0.06
44047,3.93,-2.83,8.76,-0.01,0.01,0.06
44053,3.93,-2.83,8.76,-0.01,0.01,0.05
44059,3.97,-2.79,8.78,-0.01,0.02,0.04
44065,3.97,-2.79,8.78,-0.01,0.02,0.04
44071,4.03,-2.75,8.74,-0.01,0.02,0.03
44077,4.03,-2.72,8.67,-0.02,0.03,0.02
44083,4.03,-2.72,8.67,-0.02,0.03,0.02
44089,4.03,-2.73,8.61,-0.02,0.03,0.02
44095,3.99,-2.79,8.59,-0.02,0.03,0.03
44101,3.99,-2.79,8.59,-0.02,0.03,0.03
44107,3.93,-2.83,8.63,-0.01,0.03,0.03
44113,3.87,-2.82,8.70,0.00,0.03,0.02
44119,3.87,-2.82,8.70,0.00,0.03,0.02
44125,3.89,-2.88,8.80,0.00,0.03,0.01
44131,3.92,-2.92,8.88,0.00,0.03,0.01
44137,3.92,-2.92,8.88,0.00,0.03,0.00
44143,3.97,-2.93,8.97,0.01,0.04,-0.01
44149,3.97,-2.93,8.97,0.01,0.04,-0.01
44155,4.03,-2.94,9.04,0.01,0.05,-0.03
44161,4.11,-2.87,9.05,0.01,0.06,-0.05
44167,4.11,-2.87,9.05,0.01,0.06,-0.05
44173,4.17,-2.73,8.99,0.00,0.07,-0.07
44179,4.21,-2.64,8.89,-0.01,0.08,-0.08
44185,4.21,-2.64,8.89,-0.01,0.08,-0.08
44191,4.27,-2.64,8.79,-0.01,0.09,-0.08
44197,4.32,-2.72,8.67,-0.02,0.10,-0.06
44203,4.32,-2.72,8.67,-0.02,0.10,-0.06
44209,4.31,-2.80,8.58,-0.02,0.10,-0.06
44215,4.30,-2.87,8.52,-0.02,0.10,-0.06
44221,4.30,-2.87,8.52,-0.02,0.11,-0.06
44227,4.29,-3.00,8.48,-0.01,0.11,-0.07
44233,4.29,-3.00,8.48,-0.01,0.11,-0.07
44239,4.23,-3.14,8.46,0.00,0.12,-0.08
44245,4.22,-3.18,8.53,0.03,0.13,-0.10
44251,4.22,-3.18,8.53,0.03,0.13,-0.10
44257,4.24,-3.19,8.61,0.05,0.14,-0.11
44263,4.27,-3.20,8.70,0.07,0.15,-0.11
44269,4.27,-3.20,8.70,0.07,0.15,-0.11
44275,4.32,-3.13,8.75,0.09,0.16,-0.11
44281,4.43,-3.05,8.80,0.10,0.17,-0.11
44287,4.43,-3.05,8.80,0.10,0.17,-0.11
44293,4.54,-3.02,8.79,0.11,0.18,-0.10
44299,4.61,-2.94,8.71,0.11,0.18,-0.10
44305,4.61,-2.94,8.71,0.11,0.20,-0.09
44311,4.63,-2.75,8.57,0.13,0.22,-0.08
44317,4.63,-2.75,8.57,0.13,0.22,-0.08
44323,4.62,-2.58,8.45,0.14,0.25,-0.08
44329,4.60,-2.60,8.37,0.12,0.28,-0.08
44335,4.60,-2.60,8.37,0.12,0.28,-0.08
44341,4.58,-2.78,8.31,0.11,0.30,-0.07
44347,4.52,-3.01,8.24,0.12,0.33,-0.04
44353,4.52,-3.01,8.24,0.12,0.33,-0.04
44359,4.36,-3.04,8.25,0.17,0.35,-0.02
44365,4.12,-2.88,8.38,0.22,0.37,-0.01
44371,4.12,-2.88,8.38,0.22,0.37,-0.01
44377,3.94,-2.68,8.57,0.25,0.38,-0.01
44383,3.94,-2.53,8.74,0.25,0.38,-0.01
44389,3.80,-2.53,8.74,0.26,0.38,-0.02
44395,3.75,-2.42,8.92,0.26,0.38,-0.03
44401,3.75,-2.42,8.92,0.26,0.38,-0.03
44407,3.80,-2.35,9.04,0.25,0.38,-0.03
44413,3.96,-2.36,9.08,0.23,0.38,-0.03
44419,3.96,-2.36,9.08,0.23,0.38,-0.03
44425,4.10,-2.35,9.00,0.21,0.38,-0.03
44431,4.16,-2.27,8.81,0.20,0.40,-0.01
44437,4.16,-2.27,8.81,0.20,0.40,-0.01
44443,4.11,-2.17,8.58,0.18,0.41,0.02
44449,3.95,-2.10,8.40,0.18,0.41,0.07
44455,3.95,-2.10,8.40,0.18,0.41,0.07
44461,3.75,-2.15,8.32,0.17,0.41,0.13
44467,3.75,-2.34,8.36,0.17,0.41,0.13
44473,3.54,-2.34,8.36,0.17,0.42,0.18
44479,3.32,-2.57,8.49,0.18,0.42,0.21
44485,3.32,-2.57,8.49,0.18,0.42,0.21
44491,3.12,-2.80,8.68,0.19,0.42,0.22
44497,2.94,-2.91,8.85,0.21,0.41,0.22
44503,2.94,-2.91,8.85,0.21,0.41,0.22
44509,2.79,-2.80,8.98,0.23,0.40,0.20
44515,2.68,-2.54,9.01,0.25,0.39,0.18
44521,2.68,-2.54,9.01,0.25,0.39,0.18
44527,2.62,-2.24,8.95,0.26,0.37,0.16
44533,2.61,-2.08,8.91,0.26,0.35,0.16
44539,2.61,-2.08,8.91,0.24,0.35,0.16
