timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
11892,0.99,-0.74,9.86,0.02,0.00,0.03,-3.76,12.89,-84.80
11899,0.96,-0.71,9.86,0.02,0.00,0.03,-4.62,11.01,-88.34
11906,0.94,-0.63,9.87,0.02,0.00,0.03,-3.87,10.39,-88.61
11913,0.92,-0.63,9.89,0.01,0.00,0.02,-4.11,10.77,-88.75
11920,0.94,-0.66,9.90,0.00,0.00,0.02,-3.71,10.74,-89.14
11927,0.94,-0.70,9.87,0.00,0.00,0.02,-3.93,10.61,-89.43
11934,0.97,-0.73,9.84,-0.00,-0.00,0.01,-3.87,10.49,-89.30
11941,0.99,-0.74,9.84,-0.01,-0.00,0.01,-3.99,10.29,-85.72
11948,0.98,-0.79,9.84,-0.01,0.00,0.01,-4.50,12.20,-89.83
11955,0.96,-0.83,9.84,-0.01,0.00,0.01,-4.05,10.77,-89.68
11962,0.98,-0.87,9.85,-0.01,0.00,0.01,-4.30,10.99,-89.61
11969,0.98,-0.91,9.84,-0.01,0.00,0.02,-4.17,11.02,-89.43
11976,0.97,-0.85,9.82,0.00,0.00,0.02,-4.41,11.18,-89.71
11983,0.96,-0.82,9.83,0.00,0.00,0.02,-3.98,11.15,-89.13
11990,0.97,-0.70,9.85,0.01,0.00,0.02,-4.41,12.36,-83.75
11997,0.95,-0.70,9.88,0.01,-0.00,0.02,-4.19,11.15,-89.67
12004,0.96,-0.75,9.90,0.00,0.00,0.02,-4.17,10.77,-89.26
12011,0.97,-0.79,9.86,0.00,0.00,0.02,-4.24,10.61,-89.08
12018,0.99,-0.82,9.82,-0.00,-0.00,0.02,-4.38,10.58,-89.24
12025,0.99,-0.83,9.81,-0.00,-0.00,0.02,-3.87,10.86,-89.07
12032,1.00,-0.86,9.82,-0.00,0.00,0.02,-4.50,10.77,-89.39
12039,0.98,-0.87,9.85,-0.00,0.00,0.02,-4.34,10.84,-84.55
12046,0.99,-0.88,9.83,0.00,0.00,0.02,-4.81,11.74,-89.86
12053,0.99,-0.88,9.81,0.00,0.00,0.02,-4.31,10.55,-90.00
12060,0.96,-0.86,9.82,0.01,0.00,0.02,-4.00,10.36,-89.68
12067,0.94,-0.87,9.81,0.01,0.00,0.02,-4.40,10.70,-89.92
12074,0.94,-0.87,9.83,0.01,0.00,0.02,-3.92,10.57,-90.16
12081,0.96,-0.89,9.83,0.01,0.00,0.02,-3.87,10.93,-88.54
12088,0.96,-0.90,9.81,0.01,0.00,0.01,-4.57,13.01,-87.05
12095,0.95,-0.92,9.80,0.01,0.00,0.01,-4.08,11.06,-89.46
12102,0.95,-0.92,9.81,0.01,0.00,0.01,-3.92,10.89,-89.97
12109,0.98,-0.91,9.81,0.01,0.00,0.00,-3.81,11.17,-89.92
12116,0.97,-0.90,9.82,0.02,0.00,-0.00,-4.06,10.65,-89.58
12123,0.99,-0.87,9.82,0.02,0.00,-0.00,-3.98,10.49,-89.55
12130,0.97,-0.85,9.83,0.02,0.00,-0.00,-3.81,10.38,-89.54
12137,0.96,-0.86,9.85,0.02,0.00,0.00,-3.80,12.83,-84.60
12144,0.94,-0.85,9.82,0.02,0.00,0.00,-4.63,10.84,-88.69
12151,0.94,-0.86,9.83,0.02,0.00,0.00,-3.57,10.71,-89.07
12158,0.94,-0.85,9.84,0.02,0.00,0.00,-3.92,10.74,-89.32
12165,0.91,-0.84,9.87,0.02,0.00,0.00,-3.51,10.22,-89.51
12172,0.91,-0.80,9.86,0.02,-0.00,-0.01,-4.09,10.80,-90.15
12179,0.92,-0.78,9.85,0.02,-0.00,-0.01,-4.31,11.03,-86.50
12186,0.99,-0.76,9.81,0.01,-0.00,-0.02,-4.74,12.29,-88.25
12193,1.00,-0.77,9.79,0.01,-0.00,-0.03,-3.99,11.02,-89.54
12200,1.07,-0.80,9.79,0.01,0.00,-0.04,-4.09,11.18,-89.61
12207,1.10,-0.83,9.80,0.01,0.00,-0.04,-3.71,11.27,-89.17
12214,1.13,-0.88,9.83,0.01,0.00,-0.03,-4.12,11.28,-89.68
12221,1.13,-0.89,9.82,0.01,0.01,-0.02,-4.12,10.55,-89.59
12228,1.09,-0.93,9.81,0.01,0.01,0.01,-4.14,10.48,-89.71
12235,1.08,-0.94,9.81,0.01,0.01,0.01,-4.84,12.44,-84.26
12242,0.98,-0.87,9.83,0.02,0.01,0.02,-3.93,10.54,-88.70
12249,0.96,-0.84,9.84,0.03,0.01,0.03,-4.27,10.52,-89.01
12256,0.91,-0.77,9.85,0.03,0.01,0.03,-4.19,10.54,-88.91
12263,0.92,-0.74,9.85,0.03,0.01,0.03,-3.87,10.25,-89.94
12270,0.92,-0.74,9.85,0.02,0.01,0.03,-3.68,10.55,-90.68
12277,0.94,-0.76,9.85,0.02,0.01,0.03,-4.15,10.23,-90.02
12284,0.97,-0.81,9.85,0.01,0.01,0.03,-3.92,10.76,-93.07
12291,0.98,-0.82,9.85,0.01,0.01,0.03,-4.37,10.54,-90.32
12298,0.98,-0.85,9.85,0.00,0.01,0.03,-4.57,10.87,-90.27
12305,0.96,-0.85,9.83,0.00,0.01,0.03,-4.60,10.90,-90.44
12312,0.96,-0.84,9.86,0.00,0.01,0.03,-3.86,11.28,-90.47
12319,0.98,-0.84,9.85,0.00,0.01,0.03,-4.02,11.20,-89.71
12326,0.98,-0.79,9.85,0.00,0.01,0.03,-4.02,11.05,-88.80
12333,0.96,-0.75,9.85,-0.00,0.01,0.03,-4.49,12.80,-88.35
12340,0.96,-0.73,9.84,-0.00,0.01,0.03,-3.90,11.53,-89.10
12347,0.96,-0.75,9.85,-0.00,0.01,0.03,-4.17,10.90,-89.33
12354,0.96,-0.83,9.84,-0.01,0.01,0.04,-3.74,10.57,-88.97
12361,0.98,-0.87,9.82,-0.01,0.01,0.04,-3.60,10.65,-88.41
12368,1.03,-0.91,9.80,-0.01,0.01,0.04,-4.46,10.73,-88.41
12375,1.04,-0.90,9.80,-0.01,0.01,0.04,-3.90,10.71,-89.59
12382,1.03,-0.87,9.81,0.00,0.01,0.05,-3.89,12.17,-84.24
12389,1.01,-0.84,9.83,0.01,0.01,0.06,-4.59,11.59,-89.48
12396,0.98,-0.77,9.86,0.02,0.01,0.08,-3.58,10.27,-93.15
12403,0.98,-0.72,9.90,0.02,0.01,0.08,-3.64,10.95,-89.74
12410,0.99,-0.65,9.90,0.01,0.01,0.10,-3.84,11.01,-90.11
12417,0.97,-0.63,9.91,-0.01,0.01,0.11,-3.77,10.71,-90.16
12424,0.96,-0.59,9.89,-0.02,0.01,0.12,-3.76,11.14,-86.80
12431,0.96,-0.59,9.88,-0.02,0.01,0.12,-4.15,12.50,-89.46
12438,0.90,-0.63,9.89,-0.04,0.01,0.12,-3.65,10.98,-90.19
12445,0.88,-0.65,9.87,-0.05,0.01,0.12,-4.12,11.05,-89.20
12452,0.82,-0.72,9.88,-0.06,0.01,0.12,-3.77,10.60,-87.68
12459,0.83,-0.75,9.87,-0.06,0.01,0.12,-3.79,11.09,-88.53
12466,0.82,-0.77,9.87,-0.07,0.01,0.13,-3.83,10.82,-88.80
12473,0.83,-0.76,9.87,-0.06,0.00,0.14,-3.60,10.96,-88.82
12480,0.86,-0.75,9.86,-0.06,0.00,0.14,-4.46,12.20,-84.14
12487,0.87,-0.70,9.85,-0.06,0.00,0.14,-4.18,10.57,-88.38
12494,0.86,-0.67,9.86,-0.06,-0.00,0.13,-4.00,10.70,-88.82
12501,0.83,-0.66,9.87,-0.07,-0.00,0.13,-3.80,10.82,-89.30
12508,0.81,-0.76,9.85,-0.09,-0.00,0.13,-4.15,10.76,-88.97
12515,0.80,-0.84,9.81,-0.09,-0.00,0.13,-7.40,11.24,-88.75
12522,0.83,-0.95,9.78,-0.10,-0.01,0.13,-3.55,12.28,-85.27
12529,0.84,-0.98,9.79,-0.09,-0.01,0.13,-4.79,11.52,-90.32
12536,0.83,-0.95,9.81,-0.08,-0.01,0.14,-3.98,11.59,-89.39
12543,0.84,-0.94,9.83,-0.08,-0.01,0.14,-3.68,11.91,-89.21
12550,0.80,-0.96,9.83,-0.06,-0.02,0.14,-3.81,11.15,-89.29
12557,0.78,-1.02,9.82,-0.05,-0.02,0.14,-3.54,10.96,-89.14
12564,0.74,-1.14,9.79,-0.05,-0.03,0.14,-3.27,10.87,-88.72
12571,0.74,-1.19,9.78,-0.05,-0.03,0.14,-3.42,10.89,-87.17
12578,0.77,-1.19,9.80,-0.05,-0.03,0.12,-3.93,12.91,-85.49
12585,0.80,-1.13,9.82,-0.03,-0.03,0.11,-3.23,11.02,-88.42
12592,0.88,-1.02,9.86,-0.03,-0.04,0.10,-3.81,11.02,-89.13
12599,0.89,-0.99,9.89,-0.03,-0.04,0.10,-3.58,11.02,-89.48
12606,0.93,-0.96,9.85,-0.03,-0.04,0.09,-3.35,11.01,-89.92
12613,0.95,-0.95,9.82,-0.04,-0.04,0.09,-3.71,10.93,-89.30
12620,0.97,-0.98,9.78,-0.06,-0.04,0.07,-3.87,10.90,-89.46
12627,0.97,-1.02,9.76,-0.06,-0.04,0.07,-4.27,11.88,-89.83
12634,0.97,-1.12,9.73,-0.07,-0.03,0.06,-3.68,11.66,-89.52
12641,0.96,-1.17,9.74,-0.08,-0.03,0.05,-3.86,11.55,-90.05
12648,0.97,-1.31,9.74,-0.08,-0.03,0.04,-3.89,12.03,-89.64
12655,0.97,-1.37,9.73,-0.08,-0.03,0.04,-3.77,12.26,-89.23
12662,0.99,-1.38,9.74,-0.07,-0.03,0.05,-3.68,11.97,-89.56
12669,1.02,-1.35,9.75,-0.04,-0.03,0.07,-3.70,11.77,-85.43
12676,1.13,-1.24,9.79,-0.02,-0.03,0.10,-4.24,12.67,-87.33
12683,1.18,-1.18,9.81,-0.02,-0.03,0.10,-3.55,11.30,-88.98
12690,1.21,-1.03,9.80,0.00,-0.03,0.11,-3.51,11.62,-89.13
12697,1.18,-0.99,9.80,0.01,-0.02,0.11,-4.05,11.68,-88.85
12704,1.11,-0.91,9.81,0.01,-0.02,0.12,-3.73,11.63,-88.40
12711,1.05,-0.94,9.81,0.01,-0.02,0.12,-3.32,11.59,-88.79
12718,0.99,-1.04,9.84,0.00,-0.01,0.12,-3.32,11.55,-90.15
12725,1.02,-1.17,9.82,-0.02,-0.01,0.14,-4.14,12.80,-85.08
12732,1.06,-1.44,9.76,-0.03,-0.01,0.15,-3.54,11.55,-89.78
12739,1.10,-1.57,9.72,-0.03,-0.01,0.15,-4.08,11.68,-89.36
12746,1.14,-1.82,9.65,-0.02,-0.01,0.15,-3.89,11.59,-89.71
12753,1.14,-1.92,9.63,0.00,-0.01,0.14,-3.99,12.34,-90.27
12760,1.10,-1.97,9.61,0.04,-0.00,0.13,-3.67,12.04,-90.54
12767,1.07,-1.96,9.61,0.04,-0.00,0.13,-3.73,12.98,-86.22
12774,0.97,-1.88,9.62,0.09,0.00,0.14,-3.95,13.20,-89.92
12781,0.90,-1.82,9.62,0.14,0.01,0.16,-3.35,11.44,-89.51
12788,0.77,-1.71,9.60,0.19,0.00,0.17,-3.49,11.75,-89.87
12795,0.71,-1.66,9.61,0.19,0.00,0.17,-3.41,10.84,-89.16
12802,0.58,-1.56,9.63,0.23,0.00,0.16,-3.65,11.34,-88.85
12809,0.51,-1.53,9.67,0.27,0.00,0.12,-3.61,11.43,-88.66
12816,0.47,-1.38,9.71,0.31,-0.01,0.06,-3.52,11.11,-87.37
12823,0.50,-1.25,9.75,0.31,-0.01,0.06,-4.00,12.50,-86.42
12830,0.58,-0.97,9.83,0.35,-0.01,-0.00,-3.49,11.12,-89.23
12837,0.63,-0.82,9.88,0.37,-0.02,-0.06,-3.54,10.89,-89.39
12844,0.74,-0.56,9.93,0.37,-0.03,-0.11,-3.80,10.89,-90.25
12851,0.83,-0.44,9.94,0.37,-0.03,-0.11,-3.98,10.29,-90.69
12858,0.95,-0.38,9.93,0.35,-0.03,-0.14,-3.84,10.73,-90.75
12865,1.00,-0.39,9.91,0.32,-0.04,-0.16,-4.56,12.31,-84.93
12872,1.08,-0.54,9.84,0.31,-0.04,-0.16,-3.83,10.95,-90.73
12879,1.10,-0.64,9.81,0.31,-0.04,-0.16,-3.79,10.73,-89.96
12886,1.14,-0.79,9.75,0.29,-0.03,-0.15,-3.65,10.82,-89.89
12893,1.17,-0.84,9.75,0.29,-0.03,-0.14,-4.00,9.95,-90.21
12900,1.20,-0.95,9.74,0.31,-0.03,-0.12,-3.64,9.94,-89.46
12907,1.21,-0.98,9.73,0.31,-0.03,-0.12,-4.27,9.43,-88.92
12914,1.21,-0.99,9.71,0.33,-0.02,-0.08,-3.64,9.18,-85.17
12921,1.22,-0.97,9.71,0.35,-0.02,-0.05,-4.25,10.74,-88.73
12928,1.19,-0.89,9.74,0.38,-0.02,-0.02,-3.45,9.51,-89.16
12935,1.18,-0.83,9.75,0.38,-0.02,-0.02,-3.80,9.24,-90.08
12942,1.15,-0.74,9.79,0.39,-0.02,0.01,-4.11,8.78,-89.51
12949,1.09,-0.72,9.79,0.40,-0.01,0.02,-3.79,8.71,-90.11
12956,0.98,-0.78,9.78,0.41,-0.01,0.02,-3.76,8.77,-90.85
12963,0.94,-0.82,9.75,0.41,-0.01,0.02,-3.86,8.40,-86.12
12970,0.85,-0.85,9.75,0.41,-0.01,0.00,-4.22,8.51,-90.54
12977,0.79,-0.83,9.75,0.43,-0.01,-0.03,-4.02,8.43,-91.14
12984,0.77,-0.69,9.77,0.45,-0.02,-0.05,-3.84,8.89,-90.78
12991,0.78,-0.56,9.75,0.45,-0.02,-0.05,-3.43,8.71,-90.05
12998,0.87,-0.39,9.76,0.46,-0.03,-0.06,-3.92,8.73,-90.25
13005,0.90,-0.35,9.78,0.46,-0.04,-0.04,-3.68,7.94,-90.03
13012,1.01,-0.22,9.78,0.46,-0.04,-0.02,-3.65,8.42,-85.21
13019,1.08,-0.17,9.77,0.46,-0.04,-0.02,-4.27,8.64,-89.54
13026,1.12,-0.13,9.80,0.44,-0.04,0.00,-3.36,7.40,-89.94
13033,1.11,-0.08,9.80,0.43,-0.03,0.01,-3.39,7.69,-89.84
13040,1.03,-0.15,9.76,0.42,-0.03,0.01,-4.03,7.38,-90.25
13047,0.94,-0.21,9.76,0.42,-0.03,0.01,-3.80,7.32,-89.52
13054,0.82,-0.27,9.81,0.43,-0.02,-0.00,-3.70,7.10,-90.31
13061,0.73,-0.22,9.88,0.45,-0.02,-0.04,-3.67,7.03,-87.91
13068,0.63,0.04,10.00,0.46,-0.03,-0.09,-4.79,8.17,-88.25
13075,0.67,0.23,9.97,0.46,-0.03,-0.09,-4.52,6.49,-90.92
13082,0.79,0.67,10.00,0.44,-0.04,-0.12,-4.11,6.94,-90.89
13089,0.85,0.86,10.05,0.41,-0.05,-0.13,-3.89,6.66,-92.05
13096,1.10,1.25,10.09,0.37,-0.05,-0.12,-4.02,6.97,-91.42
13103,1.22,1.41,10.09,0.37,-0.05,-0.12,-3.48,6.94,-91.76
13110,1.38,1.53,10.09,0.31,-0.05,-0.10,-3.86,7.66,-86.00
13117,1.40,1.50,10.13,0.25,-0.05,-0.09,-4.12,6.12,-91.23
13124,1.45,1.53,10.12,0.18,-0.04,-0.09,-3.48,6.17,-90.46
13131,1.48,1.58,10.07,0.18,-0.04,-0.09,-4.02,5.98,-90.72
13138,1.37,1.66,10.05,0.11,-0.02,-0.10,-3.64,6.18,-90.97
13145,1.27,1.65,10.11,0.05,-0.01,-0.10,-3.60,6.11,-90.88
13152,1.09,1.74,10.15,0.00,-0.00,-0.09,-3.64,5.70,-90.32
13159,1.09,1.78,10.09,0.00,-0.00,-0.09,-3.70,5.64,-85.85
13166,1.02,1.75,10.10,-0.05,-0.00,-0.06,-4.71,7.04,-89.26
13173,1.01,1.65,10.15,-0.10,-0.01,-0.03,-3.87,5.98,-91.38
13180,1.05,1.56,10.11,-0.14,-0.01,-0.04,-3.52,5.64,-90.88
13187,1.11,1.56,10.04,-0.14,-0.01,-0.04,-3.90,6.01,-91.36
13194,1.20,1.54,10.04,-0.17,-0.01,-0.08,-4.18,6.43,-90.85
13201,1.20,1.56,10.11,-0.21,-0.01,-0.12,-3.84,6.50,-91.38
13208,1.22,1.64,10.15,-0.24,-0.01,-0.14,-4.75,8.81,-87.07
13215,1.23,1.69,10.15,-0.24,-0.01,-0.14,-3.92,6.77,-91.19
13222,1.30,1.69,10.13,-0.30,-0.00,-0.13,-3.84,6.75,-91.13
13229,1.32,1.62,10.15,-0.36,-0.00,-0.11,-3.98,6.52,-90.11
13236,1.38,1.41,10.06,-0.42,0.00,-0.08,-4.03,6.50,-90.18
13243,1.43,1.33,9.97,-0.42,0.00,-0.08,-4.27,6.52,-90.32
13250,1.36,1.07,9.93,-0.47,0.01,-0.06,-4.06,6.68,-90.31
13257,1.27,0.92,9.97,-0.50,0.02,-0.05,-3.98,8.04,-84.90
13264,1.22,0.64,9.96,-0.53,0.02,-0.05,-4.34,8.26,-89.48
13271,1.20,0.52,9.92,-0.53,0.02,-0.05,-3.93,7.44,-89.61
13278,1.10,0.25,9.88,-0.54,0.03,-0.05,-3.98,7.34,-89.68
13285,1.07,0.16,9.86,-0.55,0.04,-0.05,-4.11,7.67,-90.32
13292,1.00,-0.02,9.84,-0.55,0.04,-0.04,-4.19,7.86,-90.16
13299,0.98,-0.01,9.84,-0.55,0.04,-0.04,-3.62,8.01,-89.67
13306,0.98,0.01,9.88,-0.54,0.03,-0.03,-4.57,9.66,-87.96
13313,0.98,0.07,9.91,-0.54,0.03,-0.02,-4.25,8.64,-90.65
13320,1.03,0.17,9.95,-0.54,0.03,0.00,-4.02,9.02,-90.57
13327,1.04,0.24,9.93,-0.54,0.03,0.00,-4.15,9.25,-90.69
13334,1.07,0.27,9.95,-0.54,0.03,0.02,-4.12,9.57,-90.30
13341,1.07,0.24,9.97,-0.56,0.03,0.03,-4.11,9.62,-90.22
13348,1.01,0.14,9.94,-0.56,0.03,0.01,-4.02,9.59,-89.68
13355,0.97,0.07,9.94,-0.58,0.03,0.01,-4.30,10.95,-84.96
13362,0.95,0.08,9.97,-0.59,0.03,-0.01,-4.14,9.63,-89.51
13369,0.93,0.07,10.02,-0.60,0.03,-0.03,-3.86,9.82,-89.20
13376,0.89,-0.13,10.08,-0.60,0.03,-0.06,-4.27,10.13,-88.79
13383,0.93,-0.25,10.06,-0.64,0.03,-0.06,-3.60,10.44,-89.27
13390,0.96,-0.44,10.02,-0.68,0.02,-0.07,-4.08,10.71,-89.13
13397,1.03,-0.61,10.07,-0.68,0.02,-0.06,-4.60,10.71,-88.50
13404,1.03,-0.63,10.07,-0.68,0.03,-0.05,-3.93,10.89,-84.76
13411,1.09,-0.65,10.06,-0.67,0.03,-0.05,-5.41,12.45,-87.71
13418,1.07,-0.56,10.02,-0.68,0.04,-0.05,-4.25,11.40,-89.58
13425,1.15,-0.53,9.96,-0.68,0.04,-0.05,-4.17,12.28,-89.01
13432,1.22,-0.42,9.92,-0.68,0.04,-0.03,-4.31,12.31,-88.95
