timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,filtered_acc_mag,jerk
0,0.27,4.55,8.93,0.04,0.0,-0.02,-1.14,-83.35,-48.7,10.025981248735706,10.034093374567869,-2.000358401979554
7,0.31,4.57,8.93,0.04,0.0,-0.02,-1.27,-83.65,-48.0,10.036229371631558,10.024476266866044,-2.0581069946782122
14,0.32,4.58,8.94,0.03,-0.0,-0.02,-1.37,-83.56,-48.0,10.04999502487439,10.014581521699322,-2.107224467991557
21,0.31,4.58,8.93,0.01,-0.0,-0.01,-1.26,-83.78,-48.19,10.040786821758545,10.004450634833978,-2.1473188520124324
28,0.31,4.52,8.9,0.0,-0.0,-0.0,-0.96,-84.03,-47.3,9.98681630951526,9.994126986506995,-2.1780569096169415
35,0.31,4.5,8.89,0.0,-0.0,-0.0,-0.94,-83.89,-47.75,9.968861519752394,9.983655559056913,-2.1991655537088377
42,0.28,4.49,8.9,-0.01,-0.0,0.0,-0.85,-81.89,-43.72,9.972386875768509,9.973082647741006,-2.2104329295186744
49,0.27,4.45,8.89,-0.01,-0.0,0.01,-1.64,-83.85,-48.17,9.945224984885964,9.962455566349089,-2.2117088028523995
56,0.23,4.41,8.91,-0.02,-0.0,0.0,-0.91,-84.05,-47.59,9.94429987480265,9.95182235095076,-2.2029044131977855
63,0.22,4.41,8.91,-0.02,-0.0,0.0,-0.92,-83.86,-47.85,9.944073611956018,9.941231464348848,-2.1839922239788336
70,0.24,4.36,8.89,-0.02,-0.01,-0.01,-0.45,-83.76,-48.19,9.904509074154054,9.930731501733565,-2.1550060712498293
77,0.26,4.35,8.9,-0.03,-0.01,-0.02,-0.88,-83.88,-48.45,9.90959635908547,9.920370895621787,-2.1160422230902896
84,0.3,4.34,8.91,-0.03,-0.01,-0.02,-1.01,-83.79,-45.75,9.915326520089996,9.910197615703083,-2.067261896538554
91,0.32,4.34,8.9,-0.03,-0.01,-0.02,-1.87,-81.77,-46.95,9.906967245327907,9.90025885658511,-2.00889576956385
98,0.32,4.3,8.93,-0.04,-0.01,-0.03,-1.4,-83.13,-49.18,9.916516525474051,9.890600703846822,-1.941250821613238
105,0.34,4.28,8.95,-0.04,-0.01,-0.03,-1.04,-83.48,-49.42,9.926555293756238,9.88126776720445,-1.8647193807714189
112,0.34,4.26,8.95,-0.05,-0.01,-0.02,-1.13,-83.72,-49.08,9.917948376554495,9.872302770181511,-1.779789620714098
119,0.34,4.24,8.96,-0.05,-0.01,-0.02,-0.96,-83.6,-48.71,9.918407130179723,9.863746089312693,-1.6870560591828792
126,0.33,4.18,8.93,-0.06,-0.01,-0.02,-1.21,-83.24,-48.77,9.865404198511078,9.855635242874314,-1.5872280448378433
133,0.35,4.13,8.94,-0.06,-0.01,-0.01,-1.65,-83.44,-48.64,9.854085447163529,9.848004338812594,-1.4811340227956862
140,0.34,4.1,8.93,-0.07,-0.01,-0.01,-1.83,-82.59,-43.28,9.832115743826453,9.840883502164537,-1.3697196835422574
147,0.34,4.08,8.91,-0.07,-0.01,-0.01,-1.71,-83.82,-48.35,9.805615737933037,9.834298311378276,-1.2540388244112535
154,0.3,4.05,8.91,-0.07,-0.01,-0.0,-1.13,-83.98,-48.44,9.79186396964337,9.828269278568607,-1.1352366364449438
161,0.31,4.02,8.91,-0.06,-0.01,-0.0,-0.95,-84.05,-48.25,9.77980572404176,9.82281141012416,-1.0145259833480225
168,0.32,3.99,8.91,-0.06,-0.01,-0.0,-0.89,-84.17,-48.28,9.767834969940884,9.817933881358064,-0.8931579845338149
175,0.31,4.0,8.92,-0.06,-0.01,-0.0,-1.2,-83.81,-47.87,9.780720832331326,9.813639852586267,-0.7723887922320216
182,0.32,4.01,8.9,-0.05,-0.01,-0.0,-1.32,-84.26,-48.87,9.766908415665624,9.809926444931305,-0.6534448020110517
189,0.31,4.0,8.91,-0.05,-0.01,-0.01,-1.2,-82.87,-43.95,9.771601711080944,9.806784883383175,-0.5374886462265351
196,0.33,4.0,8.93,-0.04,-0.01,-0.0,-2.03,-82.55,-49.18,9.790495390939112,9.80420080335324,-0.4255882326495737
203,0.35,3.99,8.96,-0.04,-0.01,-0.0,-1.02,-83.41,-48.8,9.814489288801532,9.802154706080886,-0.3186908120669045
210,0.36,3.99,8.96,-0.04,-0.01,-0.0,-0.8,-83.19,-48.26,9.814850992246392,9.80062253871518,-0.21760353186289194
217,0.36,3.99,8.97,-0.04,-0.01,0.0,-1.14,-83.08,-49.24,9.823980863173544,9.799576367888916,-0.12298117681146437
224,0.35,3.99,8.97,-0.04,-0.01,0.0,-1.23,-82.8,-48.47,9.823619495888469,9.798985112231168,-0.03532100094352586
231,0.34,4.0,8.96,-0.04,-0.01,0.0,-0.73,-82.51,-47.6,9.81820757572379,9.798815299726632,0.045036061771753566
238,0.34,3.97,8.95,-0.05,-0.0,0.01,-1.26,-81.72,-45.12,9.796887260757876,9.799031819254381,0.11789883722425998
245,0.33,3.99,8.94,-0.05,-0.0,0.01,-1.29,-83.16,-48.44,9.795539801358576,9.79959864058719,0.18321502401786915
252,0.35,4.0,8.95,-0.04,-0.0,0.01,-0.91,-83.72,-48.58,9.809434234450016,9.800479482048814,0.2410567399857939
259,0.32,4.01,8.96,-0.04,-0.0,0.01,-0.88,-83.82,-47.84,9.82161392032898,9.801638408683361,0.29160296007501074
266,0.3,4.04,8.96,-0.04,-0.0,0.0,-1.36,-83.79,-48.06,9.833270056293584,9.803040345991414,0.3351192235719509
273,0.31,4.04,8.96,-0.04,-0.0,0.0,-0.98,-83.22,-47.62,9.833580222889324,9.804651496104741,0.3719352244237655
280,0.31,4.05,8.96,-0.04,-0.0,0.0,-1.36,-83.6,-48.38,9.837692818948964,9.806439646222163,0.4024213057580823
287,0.3,4.05,8.96,-0.04,-0.0,0.0,-1.39,-81.22,-43.88,9.837382782020835,9.808374364038308,0.4269652369801804
294,0.3,4.03,8.93,-0.04,-0.0,0.0,-2.37,-83.28,-48.83,9.801826360428958,9.81042708152379,0.44595079806646254
301,0.31,4.02,8.93,-0.04,-0.01,-0.0,-1.13,-83.47,-48.89,9.798030414323074,9.812571075745263,0.45973952708945376
308,0.31,4.01,8.93,-0.04,-0.0,-0.0,-1.36,-83.54,-49.77,9.793931794739024,9.814781361933193,0.4686564771905921
315,0.32,4.02,8.94,-0.04,-0.0,-0.0,-1.53,-83.16,-49.42,9.807466543404573,9.817034518073532,0.472980132382105
322,0.32,4.01,8.94,-0.03,-0.0,-0.01,-1.42,-83.6,-48.95,9.803371868903069,9.819308461017677,0.4729360435087244
329,0.31,4.03,8.96,-0.03,-0.0,-0.01,-1.21,-83.0,-45.88,9.829476079629067,9.821582191996084,0.46869347756933166
336,0.31,4.01,8.97,-0.03,-0.01,-0.01,-1.74,-81.26,-47.43,9.830417081690888,9.82383552602286,0.460364431844539
343,0.31,4.0,8.97,-0.03,-0.01,-0.01,-1.11,-83.02,-48.67,9.82634214751349,9.826048816560574,0.4480046255943648
350,0.34,4.02,8.96,-0.03,-0.01,-0.0,-1.1,-83.16,-48.67,9.82637267764662,9.828202684952855,0.4316163729735365
357,0.33,4.02,8.96,-0.03,-0.01,-0.0,-1.08,-83.38,-48.8,9.826031752442082,9.830277763669073,0.4111534024918342
364,0.33,4.04,8.96,-0.03,-0.01,-0.0,-0.75,-83.22,-48.42,9.834231032470203,9.832254462719515,0.38652768280502414
371,0.33,4.04,8.96,-0.03,-0.01,-0.0,-1.3,-83.51,-48.77,9.834231032470203,9.834112768886847,0.35761824542788645
378,0.32,4.07,8.97,-0.03,-0.0,0.0,-1.4,-83.41,-48.16,9.8553640216889,9.835832087374481,0.324281994893596
385,0.33,4.07,8.97,-0.03,-0.0,0.0,-1.81,-82.02,-44.99,9.855693785827562,9.837391135426854,0.2863666320395737
392,0.32,4.04,8.97,-0.03,-0.0,0.0,-1.07,-83.35,-48.17,9.843012750169532,9.83876789808089,0.24372605029142846
